text,DeepSeek
1,Statement-Non-Opinion
2,Statement-Opinion
3,Acknowledge
4,Command
5,Acknowledge
6,Statement-Non-Opinion
7,Acknowledge
8,Statement-Non-Opinion
9,Acknowledge
10,Statement-Non-Opinion
11,Disagreement
12,Statement-Opinion
13,Question
14,Agreement
1,Question
2,Command
3,Question
4,Statement-Non-Opinion
5,Acknowledge
6,Backchannel
7,Agreement
1,- Greeting
2,- Question
3,- Agreement
4,- Statement-Non-Opinion
5,- Disagreement
6,- Statement-Non-Opinion
7,- Question
8,- Acknowledge
9,- Command
10,- Question
11,- Agreement
12,- Question
13,- Disagreement
1,- Acknowledge
2,- Question
3,- Question
4,- Statement-Non-Opinion
5,- Statement-Non-Opinion
6,- Statement-Non-Opinion
7,- Statement-Opinion
8,- Agreement
9,- Acknowledge
1,Greeting
2,Greeting
3,Question
4,Statement-Non-Opinion
5,Acknowledge
6,Greeting
7,Greeting
8,Question
9,Statement-Opinion
10,Agreement
11,Agreement
12,Apology
13,Acknowledge
14,Backchannel
15,Backchannel
1,Statement-Non-Opinion
2,Statement-Non-Opinion
3,Statement-Non-Opinion
4,Command
1,Agreement
2,Question
3,Agreement
4,Question
5,Statement-Non-Opinion
6,Command
7,Statement-Opinion
8,Question
9,Statement-Opinion
10,Statement-Non-Opinion
11,Statement-Non-Opinion
12,Statement-Non-Opinion
13,Acknowledge
14,Statement-Non-Opinion
15,Command
16,Apology
17,Apology
18,Command
19,Statement-Non-Opinion
20,Statement-Non-Opinion
21,Command
22,Command
1,- Statement-Opinion
2,- Disagreement
1,Statement-Opinion
2,Statement-Non-Opinion
3,Command
4,Question
5,Agreement
6,Acknowledge
7,Acknowledge
1,Question
2,Statement-Non-Opinion
3,Statement-Non-Opinion
4,Command
5,Acknowledge
6,Statement-Non-Opinion
7,Question
8,Agreement
9,Agreement
10,Statement-Opinion
11,Disagreement
12,Statement-Opinion
13,Statement-Opinion
14,Statement-Opinion
1,- Answer
2,- Statement-Non-Opinion
3,- Statement-Opinion
4,- Command
5,- Question
6,- Answer
1,Statement-Non-Opinion
2,Command
3,Statement-Opinion
4,Statement-Non-Opinion
5,Acknowledge
6,Acknowledge
7,Command
8,Greeting
9,Statement-Opinion
10,Question
1,- Greeting
2,- Statement-Non-Opinion
3,- Question
4,- Question
5,- Question
6,- Statement-Non-Opinion
7,- Statement-Non-Opinion
8,- Statement-Opinion
9,- Command
10,- Disagreement
11,- Statement-Non-Opinion
12,- Statement-Opinion
1,Statement-Opinion
2,Answer
3,Acknowledge
4,Agreement
1,Statement-Opinion
2,Acknowledge
3,Statement-Non-Opinion
4,Question
5,Answer
6,Question
1,- Command
2,- Question
3,- Answer
4,- Statement-Non-Opinion
5,- Question
6,- Statement-Opinion
7,- Statement-Opinion
8,- Statement-Opinion
9,- Question
10,- Acknowledge
11,- Statement-Non-Opinion
12,- Statement-Non-Opinion
13,- Statement-Non-Opinion
14,- Statement-Opinion
15,- Command
16,- Command
17,- Command
18,- Command
19,- Question
20,- Statement-Opinion
21,- Statement-Opinion
22,- Statement-Opinion
23,- Command
1,Command
2,Statement-Opinion
3,Acknowledge
4,Question
5,Statement-Non-Opinion
6,Statement-Opinion
1,Command
2,Statement-Non-Opinion
3,Question
4,Question
5,Statement-Opinion
6,Statement-Non-Opinion
7,Statement-Opinion
8,Statement-Non-Opinion
9,Agreement
10,Greeting
11,Greeting
1,- Question
2,- Statement-Non-Opinion
3,- Backchannel
4,- Statement-Opinion
5,- Backchannel
6,- Agreement
7,- Acknowledge
8,- Question
9,- Statement-Non-Opinion
10,- Statement-Opinion
11,- Command
1,- Greeting
2,- Greeting
1,Question
2,Statement-Opinion
3,Question
4,Answer
5,Answer
6,Answer
7,Agreement
8,Statement-Opinion
9,Backchannel
10,Statement-Opinion
11,Question
12,Statement-Opinion
13,Backchannel
14,Statement-Opinion
15,Statement-Opinion
16,Statement-Opinion
17,Agreement
1,Question
2,Statement-Non-Opinion
3,Statement-Opinion
4,Greeting
5,Acknowledge
6,Question
7,Statement-Non-Opinion
8,Question
9,Statement-Non-Opinion
10,Statement-Non-Opinion
11,Statement-Non-Opinion
12,Statement-Opinion
13,Offer
14,Acknowledge
1,- Joey - Ew! What is that? Something exploded! - **Question**
2,"Calm down, will you? - **Answer**, **Command**"
3,"Water breaking, what do you mean? What's that, water breaking? - **Question**"
4,- **Command**
1,Disagreement
2,Statement-Opinion
3,Question
4,Statement-Opinion
5,Question
6,Question
7,Statement-Non-Opinion
8,Disagreement
9,Statement-Opinion
1,Statement-Opinion
2,Statement-Opinion
3,Statement-Opinion
4,Agreement
5,Question
6,Statement-Non-Opinion
7,Statement-Opinion
8,Agreement
9,Question
1,Agreement
2,Agreement
3,Acknowledge
4,Acknowledge
5,Backchannel
6,Question
7,Statement-Opinion
8,Acknowledge
9,Backchannel
10,Command
11,Question
12,Question
13,Statement-Non-Opinion
14,Disagreement
1,Statement-Opinion
2,Statement-Non-Opinion
3,Question
4,Statement-Non-Opinion
