Utterance,Original_Labels,DeepSeek
also I was the point person on my company's transition from the KL-5 to GR-6 system. (neutral),Statement Non Opinion,Statement Non Opinion
You must've had your hands full. (neutral),Statement Opinion,Statement Opinion
That I did. That I did. (neutral),Agreement,Agreement
So let's talk a little bit about your duties. (neutral),Statement Non Opinion,Command
My duties? All right. (surprise),Agreement,Statement Non Opinion
"Now you'll be heading a whole division, so you'll have a lot of duties. (neutral)",Statement Non Opinion,Statement Non Opinion
I see. (neutral),Agreement,Acknowledge
But there'll be perhaps 30 people under you so you can dump a certain amount on them. (neutral),Statement Opinion,Statement Non Opinion
Good to know. (neutral),Statement Non Opinion,Acknowledge
We can go into detail (neutral),Statement Opinion,Statement Non Opinion
No don't I beg of you! (fear),Disagreement,Command
"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here. (neutral)",Statement Opinion,Statement Non Opinion
Really?! (surprise),Question,Question
Absolutely. You can relax (neutral),Answer,Agreement
But then who? The waitress I went out with last month? (surprise),Question,Question
You know? Forget it! (sadness),Statement Opinion,Statement Non Opinion
"No-no-no-no, no! Who, who were you talking about? (surprise)",Question,Question
"No, I-I-I-I don't, I actually don't know (fear)",Answer,Answer
Ok! (neutral),Backchannel,Acknowledge
"All right, well... (neutral)",Others,Backchannel
"Yeah, sure! (neutral)",Backchannel,Agreement
"Hey, Mon. (neutral)",Greeting,Greeting
Hey-hey-hey. You wanna hear something that sucks. (neutral),Question,Statement Non Opinion
Do I ever. (joy),Others,Agreement
Chris says they're closing down the bar. (sadness),Statement Non Opinion,Statement Non Opinion
No way! (surprise),Disagreement,Others
"Yeah, apparently they're turning it into some kinda coffee place. (neutral)",Statement Non Opinion,Statement Non Opinion
Just coffee! Where are we gonna hang out now? (disgust),Question,Disagreement
Got me. (sadness),Others,Acknowledge
Can I get a beer. (neutral),Question,Command
"Hey, did you pick a roommate? (neutral)",Question,Question
You betcha! (joy),Others,Agreement
Is it the Italian guy? (neutral),Question,Question
"Um-mm, yeah right! (joy)",Answer,Agreement
"Oh my God, oh my God! Poor Monica! (surprise)",Statement Non Opinion,Statement Opinion
"What, what, what?! (surprise)",Question,Question
What?! (surprise),Question,Question
He was with her when he wrote this poem. (neutral),Statement Non Opinion,Statement Non Opinion
"Look, 'My vessel so empty with nothing inside. (neutral)",Statement Non Opinion,Statement Non Opinion
"Now that I've touched you, you seem emptier still.' (neutral)",Statement Non Opinion,Statement Non Opinion
"He thinks Monica is empty, she is the empty vase! (surprise)",Statement Opinion,Statement Opinion
"Oh, totally. Oh, God, oh, she seemed so happy too. (sadness)",Statement Opinion,Statement Opinion
Done. (neutral),Agreement,Acknowledge
Hey! (surprise),Greeting,Greeting
Hi! (joy),Greeting,Greeting
What are you doing here? (surprise),Question,Question
"Ah y'know, this building is on my paper route so I... (neutral)",Statement Non Opinion,Statement Non Opinion
Oh. (neutral),Backchannel,Backchannel
Hi. (neutral),Greeting,Greeting
Hi. (neutral),Greeting,Greeting
How'd did it go? (neutral),Question,Question
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up. (joy)",Statement Non Opinion,Statement Opinion
I'm so proud of you. (joy),Apology,Statement Opinion
Me too! (joy),Agreement,Agreement
"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so... (sadness)",Apology,Apology
I know. (neutral),Agreement,Acknowledge
Yeah. (neutral),Backchannel,Backchannel
Yeah. (neutral),Backchannel,Backchannel
Ameri-can. (neutral),Others,Statement Non Opinion
Ameri-ccan. (neutral),Others,Statement Non Opinion
Ameri-can. Y'know it's a (neutral),Statement Non Opinion,Statement Non Opinion
Everybody!! (surprise),Others,Command
Good job Joe! Well done! Top notch! (joy),Apology,Agreement
You liked it? You really liked it? (surprise),Question,Question
"Oh-ho-ho, yeah! (joy)",Answer,Agreement
Which part exactly? (neutral),Question,Question
The whole thing! Can we go? (neutral),Answer,Statement Non Opinion
"Oh no-no-no, give me some specifics. (anger)",Command,Command
"I love the specifics, the specifics were the best part! (joy)",Statement Opinion,Statement Opinion
"Hey, what about the scene with the kangaroo? Did-did you like that part? (neutral)",Question,Question
I was surprised to see a kangaroo in a World War I epic. (surprise),Answer,Statement Opinion
You fell asleep!! (anger),Statement Non Opinion,Statement Non Opinion
There was no kangaroo! (anger),Statement Non Opinion,Statement Non Opinion
They didn't take any of my suggestions! (anger),Statement Non Opinion,Statement Opinion
That's for coming buddy. (neutral),Statement Opinion,Acknowledge
I'll see you later. (neutral),Statement Non Opinion,Statement Non Opinion
Don't go! (sadness),Command,Command
I'm sorry. (sadness),Apology,Apology
I'm so sorry! (sadness),Apology,Apology
Look! (surprise),Command,Command
This guy fell asleep! (anger),Statement Non Opinion,Statement Non Opinion
He fell asleep too! (anger),Statement Non Opinion,Statement Non Opinion
Be mad at him! (anger),Statement Opinion,Command
"Or, call an ambulance. (anger)",Statement Opinion,Command
"Okay, look, I think we have to tell Rachel she messed up her dessert. (neutral)",Statement Opinion,Statement Opinion
"What?! What is with everybody? It's Thanksgiving, not...Truth-Day! (anger)",Question,Disagreement
"Yes, and it is my dying wish to have that ring. (neutral)",Statement Opinion,Statement Non Opinion
"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity (neutral)",Statement Opinion,Statement Non Opinion
"Okay, that's enough honey! (neutral)",Statement Non Opinion,Command
I don't know. Let me see the ring. (neutral),Statement Non Opinion,Question
"Great! Okay, here. (joy)",Agreement,Agreement
All right. (neutral),Others,Acknowledge
Thank you. Thank you. Thank you! And (joy),Acknowledge,Acknowledge
What've you been up to? (neutral),Question,Question
"Oh, you know, the usual, teaching aerobics, partying way too much. (neutral)",Answer,Statement Non Opinion
"Oh, and in case you were wondering, those are my legs on the new James Bond poster. (neutral)",Statement Non Opinion,Statement Non Opinion
Can you hold on a moment? I have another call. I love her. (joy),Statement Non Opinion,Statement Opinion
I know. (neutral),Agreement,Acknowledge
I'm back. (neutral),Statement Non Opinion,Statement Non Opinion
"So, are we gonna get together or what? (neutral)",Question,Question
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish? (neutral)",Answer,Question
"Great, I'll see you then. (neutral)",Agreement,Agreement
Ok. Ok. Having a phone has finally paid off. (joy),Statement Non Opinion,Statement Opinion
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."" (neutral)",Statement Opinion,Statement Opinion
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table. (neutral)",Statement Opinion,Statement Opinion
Oh my god. You are pure evil. (disgust),Statement Opinion,Disagreement
"Ok, pure evil , horny and alone . I've done this (anger)",Statement Non Opinion,Statement Opinion
Nobody! (anger),Others,Statement Non Opinion
Nobody respects the bucket! (anger),Statement Opinion,Statement Non Opinion
