text,DeepSeek
1,Statement Opinion (joy)
2,Statement Opinion (joy)
3,Statement Non Opinion (neutral)
4,Question (joy)
5,Statement Non Opinion (neutral)
1,Statement Opinion (anger)
2,Command (sadness)
3,Statement Non Opinion (surprise)
4,Statement Opinion (joy)
5,Statement Opinion (joy)
6,Statement Opinion (joy)
7,Statement Opinion (anger)
1,Greeting (fear)
2,Question (neutral)
3,Apology (joy)
4,Statement Opinion (anger)
5,Apology (sadness)
6,Statement Opinion (anger)
7,Statement Opinion (disgust)
8,Statement Opinion (anger)
9,Command (anger)
10,Apology (sadness)
1,Greeting (joy)
2,Question (neutral)
3,Statement Non Opinion (neutral)
4,Statement Opinion (joy)
5,Statement Non Opinion (surprise)
6,Statement Opinion (joy)
7,Statement Opinion (anger)
8,Acknowledge (neutral)
1,Statement Non Opinion (surprise)
2,Question (surprise)
3,Statement Opinion (joy)
4,Statement Opinion (joy)
5,Question (neutral)
6,Statement Non Opinion (sadness)
7,Question (sadness)
8,Question (neutral)
9,Statement Non Opinion (sadness)
10,Statement Opinion (joy)
11,Statement Non Opinion (surprise)
12,Question (neutral)
13,Statement Non Opinion (neutral)
14,Statement Opinion (joy)
15,Question (surprise)
16,Statement Non Opinion (fear)
17,Statement Non Opinion (neutral)
18,Question (joy)
1,Acknowledge (neutral)
2,Statement Opinion (anger)
1,Statement Opinion (disgust)
2,Statement Non Opinion (neutral)
3,Statement Non Opinion (neutral)
4,Question (neutral)
5,Statement Non Opinion (neutral)
6,Command (neutral)
7,Statement Opinion (joy)
8,Statement Opinion (joy)
1,Statement Opinion (joy)
2,Statement Opinion (joy)
3,Statement Opinion (joy)
4,Statement Opinion (joy)
5,Statement Opinion (joy)
6,Statement Opinion (joy)
7,Statement Opinion (joy)
8,Statement Non Opinion (neutral)
9,Statement Non Opinion (neutral)
10,Question (surprise)
11,Statement Opinion (anger)
12,Statement Opinion (joy)
13,Acknowledge (neutral)
14,Statement Non Opinion (neutral)
15,Statement Opinion (anger)
16,Statement Non Opinion (fear)
1,Question (surprise)
2,Statement Non Opinion (sadness)
3,Statement Non Opinion (fear)
4,Statement Non Opinion (fear)
5,Statement Non Opinion (fear)
6,Question (neutral)
7,Greeting (joy)
8,Question (neutral)
9,Statement Opinion (joy)
