Text,DS_r1_emotion
|Excuse me.|,Apology
|Do you have your forms?|,Question
|Yeah.|,Agreement
|Let me see them.|,Command
|Is there a problem?|,Question
|Who told you to get in this line?|,Question
|You did.|,Statement Non Opinion
|You were standing at the beginning and you directed me.|,Statement Non Opinion
|Okay. But I didn't tell you to get in this line if you are filling out this particular form.|,Statement Non Opinion
|Well what's the problem?  Let me change it.|,Question
|This form is a Z.X.four.|,Statement Non Opinion
"|You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.|",Command
|What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.|,Statement Non Opinion
|No. I need another set of ID to prove this is actually you.|,Command
|How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?|,Question
|I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.|,Statement Non Opinion
|I'm here to get an ID.|,Statement Non Opinion
"|No.  I need another ID, a separate one.|",Command
|Like what?  Like a birth certificate?|,Question
"|A birth certificate, a passport...a student ID; didn't you go to school?  Anything?|",Question
|Who the hell has a birth certificate?|,Question
"|Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?|",Statement Non Opinion
"|Yeah.  We keep it on file, but we need an ID to access that file.|",Acknowledge
|That's out of control.|,Statement Opinion
|I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.|,Statement Opinion
|How long have you been working here?|,Question
|Actually too long.|,Statement Opinion
"|Clearly.  You know, do you have like a supervisor or something?|",Question
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,Agreement
|That would - I would appreciate that.  Yeah.|,Acknowledge
|Did you get the mail? So you saw my letter?|,Question
|It's not fair.|,Disagreement
|Yeah.  I know.|,Acknowledge
"|I don't understand.  You've already done so much, I don't know why do you have to go back.|",Statement Non Opinion
|I don't know.  I put in that. request too. They didn't...|,Statement Non Opinion
"|I guess, you know, everybody has to make sacrifices.|",Statement Opinion
"|I don't know, it's just not fair.  I think you've already made your sacrifice.|",Statement Opinion
"|There's people that have given more though, you know?|",Question
|I just don't see how they can make you leave when you have a new baby - we have a new kid.|,Disagreement
|I know.|,Acknowledge
|Then why is that fair?  Why--|,Disagreement
"|There's babies over there, though, that need mothers.|",Statement Non Opinion
|I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.|,Disagreement
"|I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.|",Disagreement
|I'm just trying to think of another way.  I'm just trying to...|,Statement Non Opinion
"|Just, you know, kicking myself.|",Statement Opinion
|like you sign up because you need money and|,Statement Non Opinion  
|like you sign up because you need money and|,Neutral
|things just aren't what they seem.|,Statement Opinion
|This is a stupid war.|,Statement Opinion
"|We're doing the right thing, though.|",Statement Opinion
|I know.|,Acknowledge
|I just don't see why it has to be you.|,Disagreement
"|If not me then, who?|",Question
|What am I going to do? Huh?|,Question
"|You'll videotape everything, yeah?|",Question
|Yeah.|,Acknowledge
"|Maybe you can send it to me, like stream it, yeah?|",Command
|Don't you guys have access to computers over there.|,Question
|Last month--  Yeah.|,Backchannel
|I just don't know how I'm going to do it without you.|,Acknowledge
|I have to find sitters.|,Statement Non Opinion
|I can't raise a baby by myself.  How?|,Statement Opinion
"|We've got friends, that's why we moved here, huh?  Because there is a day care down the street.|",Statement Opinion
|I know.|,Acknowledge
|And your mother is close by.|,Statement Non Opinion
|I'll send you lots of letters.|,Statement Non Opinion
|And I want lots and lots and lots of pictures.|,Command
|It's just not fair.|,Statement Opinion
|So what's up?  What's new?|,Greeting
|Well Vegas was awesome.|,Statement Opinion
|Yeah.  I heard.|,Acknowledge
"|And, um, I got married.|",Statement Non Opinion
|Shut up.  No- in Vegas?|,Command
|Yeah.  In the old town part.|,Agreement
|Who did you marry?|,Question
|Chuck. [LAUGHTER]|,Backchannel
|Did you propose to you?|,Question
|Um- Yes.  It was very romantic.|,Statement Opinion
|It was at the slot machines.|,Statement Non Opinion
|Oh.  The Wheel of Fortune slots?|,Question
"|Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.|",Backchannel
|He turned to you and was like...|,Others
|Hey.  Let's get married and I said okay.|,Agreement
|[LAUGHTER] That's really romantic.|,Statement Opinion
"|Yeah.  Well.  You know, because he's leaving the next day.|",Acknowledge
|Yeah.|,Agreement
|But we're going to have a honeymoon cruise.|,Statement Non Opinion
"|Does that mean that you're going to get citizenship, too, in- in England or whatever?|",Question
|Oh.  I hadn't even thought about that.|,Acknowledge
|Yeah.  Think about that.|,Command
"|He's not going to be a citizen, though.|",Statement Non Opinion
|Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?|,Question
|Oh.  Totally.|,Backchannel
