Conversation, ChatGPT
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Neutral
6,Neutral
7,Neutral
8,Neutral
9,Neutral
10,Neutral
11,Surprise
12,Neutral
13,Surprise
14,Joy
1,Neutral
2,Anger
3,Fear
4,Sadness
5,Neutral
6,Neutral
7,Joy
1,Neutral
2,Sadness
3,Neutral
4,Sadness
5,Surprised
6,Neutral
7,Fear
8,Neutral
9,Neutral
10,Neutral
11,Joy
12,Neutral
13,Neutral
1,Surprise
2,Surprise
3,Surprise
4,Neutral
5,Neutral
6,Neutral
7,Sadness
8,Sadness
9,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Neutral
6,Neutral
7,Neutral
8,Neutral
9,Joy
10,Joy
11,Joy
12,Sadness
13,Neutral
14,Neutral
15,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Neutral
1,Neutral
2,Joy
3,Joy
4,Neutral
5,Neutral
6,Neutral
7,Joy
8,Neutral
9,Surprised
10,Surprise
11,Surprise
12,Sadness
13,Neutral
14,Neutral
15,Fear
16,Sadness
17,Sadness
18,Neutral
19,Neutral
20,Neutral
21,Anger
22,Fear
1,Neutral
2,Surprise
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Joy
6,Neutral
7,Joy
1,Neutral
2,Neutral
3,Neutral
4,Joy
5,Neutral
6,Neutral
7,Neutral
8,Joy
9,Joy
10,Joy
11,Neutral
12,Neutral
13,Surprised
14,Sadness
1,Neutral
2,Anger
3,Disgust
4,Neutral
5,Anger
6,Neutral
1,Neutral
2,Fear
3,Sadness
4,Joy
5,Neutral
6,Neutral
7,Joy
8,Joy
9,Joy
10,Surprise
1,Neutral
2,Joy
3,Neutral
4,Surprised
5,Disgust
6,Anger
7,Sadness
8,Fear
9,Fear
10,Disgust
11,Neutral
12,Anger
1,Joy
2,Neutral
3,Surprise
4,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Surprised
5,Neutral
6,Fear
1,Anger
2,Neutral
3,Joy
4,Sadness
5,Surprise
6,Neutral
7,Surprise
8,Sadness
9,Concern
