Conversation, ChatGPT
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Surprise
6,Surprise
7,Neutral
8,Neutral
9,Neutral
10,Neutral
11,Fear
12,Neutral
13,Surprise
14,Joy
1,Neutral
2,Anger
3,Fear
4,Sadness
5,Neutral
6,Neutral
7,Neutral
1,Neutral
2,Sadness
3,Neutral
4,Sadness
5,Surprised
6,Neutral
7,Sadness
8,Neutral
9,Sadness
10,Neutral
11,Joy
12,Neutral
13,Surprised
1,Fear
2,Surprised
3,Surprised
4,Neutral
5,Sadness
6,Sadness
7,Disgust
8,Sadness
9,Neutral
1,Joy
2,Neutral
3,Surprised
4,Neutral
5,Neutral
6,Neutral
7,Neutral
8,Neutral
9,Joy
10,Joy
11,Joy
12,Sadness
13,Neutral
14,Neutral
15,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Joy
1,Joy
2,Surprised
3,Joy
4,Neutral
5,Neutral
6,Surprised
7,Joy
8,Neutral
9,Surprised
10,Anger
11,Disgust
12,Sadness
13,Neutral
14,Neutral
15,Fear
16,Sadness
17,Sadness
18,Neutral
19,Neutral
20,Neutral
21,Fear
22,Fear
1,Neutral
2,Surprise
1,Sadness
2,Fear
3,Surprise
4,Neutral
5,Joy
6,Neutral
7,Joy
1,Neutral
2,Joy
3,Joy
4,Joy
5,Neutral
6,Neutral
7,Neutral
8,Joy
9,Joy
10,Joy
11,Neutral
12,Joy
13,Disgust
14,Neutral
1,Neutral
2,Sadness
3,Disgust
4,Surprise
5,Anger
6,Neutral
1,Neutral
2,Fear
3,Sadness
4,Joy
5,Neutral
6,Neutral
7,Joy
8,Joy
9,Joy
10,Sadness
1,Joy
2,Joy
3,Neutral
4,Surprised
5,Disgust
6,Neutral
7,Sadness
8,Fear
9,Fear
10,Fear
11,Neutral
12,Anger
1,Joy
2,Neutral
3,Surprised
4,Neutral
1,Joy
2,Neutral
3,Neutral
4,Surprised
5,Neutral
6,Fear
1,Anger
2,Neutral
3,Joy
4,Sadness
5,Surprised
6,Neutral
7,Joy
8,Sadness
9,Concerned
10,Sadness
