Text, DeepSeek-v3
1,neutral
2,neutral
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,fear
12,joy
13,surprised
14,neutral
"[""anger"""
" ""neutral"""
" ""surprised"""
" ""fear"""
" ""neutral"""
" ""neutral"""
" ""sadness""]"
1,neutral
2,sadness
3,neutral
4,sadness
5,surprised
6,sadness
7,sadness
8,neutral
9,neutral
10,neutral
11,joy
12,neutral
13,disgust
1,surprised
2,surprised
3,surprised
4,neutral
5,neutral
6,neutral
7,neutral
8,sadness
9,neutral
"[[""neutral"""
1]
"[""neutral"""
2]
"[""surprised"""
3]
"[""neutral"""
4]
"[""neutral"""
5]
"[""neutral"""
6]
"[""neutral"""
7]
"[""neutral"""
8]
"[""joy"""
9]
"[""joy"""
10]
"[""joy"""
11]
"[""sadness"""
12]
"[""neutral"""
13]
"[""neutral"""
14]
"[""neutral"""
15]]
"[[""anger"""
1]
"[""anger"""
2]
"[""anger"""
3]
"[""joy"""
4]]
1,joy
2,surprised
3,joy
4,neutral
5,joy
6,neutral
7,joy
8,neutral
9,surprised
10,anger
11,anger
12,sadness
13,anger
14,neutral
15,fear
16,sadness
17,sadness
18,neutral
19,neutral
20,neutral
21,neutral
22,neutral
"[""neutral"""
" ""surprised""]"
1,sadness
2,fear
3,anger
4,neutral
5,joy
6,neutral
7,joy
1,neutral
2,joy
3,joy
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,joy
10,joy
11,neutral
12,neutral
13,surprised
14,neutral
"[[""anger"""
 1]
" [""anger"""
 2]
" [""disgust"""
 3]
" [""surprised"""
 4]
" [""anger"""
 5]
" [""neutral"""
 6]]
1,anger
2,fear
3,neutral
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,joy
10,joy
1,joy
2,joy
3,neutral
4,surprised
5,neutral
6,neutral
7,fear
8,neutral
9,fear
10,disgust
11,neutral
12,anger
"[""joy"""
" ""neutral"""
" ""surprised"""
" ""neutral""]"
"[""neutral"""
" ""neutral"""
" ""neutral"""
" ""surprised"""
