Text,DS_emotion
"|1.  - Fey - Excuse me. 2. - Joey - . Do you have your forms? 3. - Fey - . Yeah. 4. - Joey - . Let me see them. 5. - Fey - . Is there a problem? 6. - Joey - . Who told you to get in this line? 7. - Fey - . You did. 8. - Fey - . You were standing at the beginning and you directed me. 9. - Joey - . Okay. But I didn't tell you to get in this line if you are filling out this particular form. 10. - Fey - . Well what's the problem?  Let me change it. 11. - Joey - . This form is a Z.X.four. 12. - Joey - . You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID. 13. - Fey - . What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen. 14. - Joey - . No. I need another set of ID to prove this is actually you. 15. - Fey - . How am I supposed to get an ID without an ID?  How does a person get an ID in the first place? 16. - Joey - . I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID. 17. - Fey - . I'm here to get an ID. 18. - Joey - . No.  I need another ID, a separate one. 19. - Fey - . Like what?  Like a birth certificate? 20. - Joey - . A birth certificate, a passport...a student ID; didn't you go to school?  Anything? 21. - Fey - . Who the hell has a birth certificate? 22. - Fey - . Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here? 23. - Joey - . Yeah.  We keep it on file, but we need an ID to access that file. 24. - Fey - . That's out of control. 25. - Joey - . I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID. 26. - Fey - . How long have you been working here? 27. - Joey - . Actually too long. 28. - Fey - . Clearly.  You know, do you have like a supervisor or something? 29. - Joey - . Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back. 30. - Fey - . That would - I would appreciate that.  Yeah.|","Based on the dialogical acts provided, here is the classification for each sentence:"
"|1.  - Fey - Excuse me. 2. - Joey - . Do you have your forms? 3. - Fey - . Yeah. 4. - Joey - . Let me see them. 5. - Fey - . Is there a problem? 6. - Joey - . Who told you to get in this line? 7. - Fey - . You did. 8. - Fey - . You were standing at the beginning and you directed me. 9. - Joey - . Okay. But I didn't tell you to get in this line if you are filling out this particular form. 10. - Fey - . Well what's the problem?  Let me change it. 11. - Joey - . This form is a Z.X.four. 12. - Joey - . You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID. 13. - Fey - . What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen. 14. - Joey - . No. I need another set of ID to prove this is actually you. 15. - Fey - . How am I supposed to get an ID without an ID?  How does a person get an ID in the first place? 16. - Joey - . I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID. 17. - Fey - . I'm here to get an ID. 18. - Joey - . No.  I need another ID, a separate one. 19. - Fey - . Like what?  Like a birth certificate? 20. - Joey - . A birth certificate, a passport...a student ID; didn't you go to school?  Anything? 21. - Fey - . Who the hell has a birth certificate? 22. - Fey - . Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here? 23. - Joey - . Yeah.  We keep it on file, but we need an ID to access that file. 24. - Fey - . That's out of control. 25. - Joey - . I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID. 26. - Fey - . How long have you been working here? 27. - Joey - . Actually too long. 28. - Fey - . Clearly.  You know, do you have like a supervisor or something? 29. - Joey - . Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back. 30. - Fey - . That would - I would appreciate that.  Yeah.|",
1,→ **Greeting**
2,Do you have your forms? → **Question**
3,→ **Answer**
4,→ **Command**
5,Is there a problem? → **Question**
6,Who told you to get in this line? → **Question**
7,→ **Answer**
8,→ **Statement Non Opinion**
9,→ **Statement Non Opinion**
10,"→ **Question** (first clause), **Command** (second clause)"
11,→ **Statement Non Opinion**
12,→ **Statement Non Opinion**
13,"→ **Question** (first word), **Statement Non Opinion** (remaining)"
14,"→ **Disagreement** (first word), **Statement Non Opinion**"
15,How am I supposed to get an ID without an ID? How does a person get an ID in the first place? → **Question**
16,"→ **Answer** (first clause), **Statement Non Opinion**"
17,→ **Statement Non Opinion**
18,"→ **Disagreement** (first word), **Statement Non Opinion**"
19,Like what? Like a birth certificate? → **Question**
20,"a student ID; didn't you go to school? Anything? → **Statement Non Opinion** (first clause), **Question** (remaining)"
21,Who the hell has a birth certificate? → **Statement Opinion** (rhetorical frustration)
22,"Don't you have things on file here? → **Statement Non Opinion** (first clauses), **Question** (last sentence)"
23,"→ **Acknowledge** (first word), **Statement Non Opinion**"
24,→ **Statement Opinion**
25,→ **Statement Opinion**
26,How long have you been working here? → **Question**
27,→ **Answer**
28,"You know, do you have like a supervisor or something? → **Statement Opinion** (first word), **Question**"
29,"→ **Acknowledge** (first word), **Question** (next two sentences), **Agreement** (""Fine""), **Statement Non Opinion** (last clause)"
30,"→ **Agreement** (first clause), **Acknowledge** (""Yeah"")"
"|1.  - Fey - Did you get the mail? So you saw my letter? 2. - Joey - . It's not fair. 3. - Fey - . Yeah.  I know. 4. - Joey - . I don't understand.  You've already done so much, I don't know why do you have to go back. 5. - Fey - . I don't know.  I put in that. request too. They didn't... 6. - Fey - . I guess, you know, everybody has to make sacrifices. 7. - Joey - . I don't know, it's just not fair.  I think you've already made your sacrifice. 8. - Fey - . There's people that have given more though, you know? 9. - Joey - . I just don't see how they can make you leave when you have a new baby - we have a new kid. 10. - Fey - . I know. 11. - Joey - . Then why is that fair?  Why-- 12. - Fey - . There's babies over there, though, that need mothers. 13. - Joey - . I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it. 14. - Fey - . I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix. 15. - Joey - . I'm just trying to think of another way.  I'm just trying to... 16. - Fey - . Just, you know, kicking myself. 17. - Fey - . like you sign up because you need money and 18. - Fey - . things just aren't what they seem. 19. - Joey - . This is a stupid war. 20. - Fey - . We're doing the right thing, though. 21. - Joey - . I know. 22. - Joey - . I just don't see why it has to be you. 23. - Fey - . If not me then, who? 24. - Joey - . What am I going to do? Huh? 25. - Fey - . You'll videotape everything, yeah? 26. - Joey - . Yeah. 27. - Fey - . Maybe you can send it to me, like stream it, yeah? 28. - Joey - . Don't you guys have access to computers over there. 29. - Fey - . Last month--  Yeah. 30. - Joey - . I just don't know how I'm going to do it without you. 31. - Fey - . I have to find sitters. 32. - Joey - . I can't raise a baby by myself.  How? 33. - Fey - . We've got friends, that's why we moved here, huh?  Because there is a day care down the street. 34. - Joey - . I know. 35. - Fey - . And your mother is close by. 36. - Fey - . I'll send you lots of letters. 37. - Fey - . And I want lots and lots and lots of pictures. 38. - Joey - . It's just not fair.|",Based on the dialogical acts classification:
"|1.  - Fey - Did you get the mail? So you saw my letter? 2. - Joey - . It's not fair. 3. - Fey - . Yeah.  I know. 4. - Joey - . I don't understand.  You've already done so much, I don't know why do you have to go back. 5. - Fey - . I don't know.  I put in that. request too. They didn't... 6. - Fey - . I guess, you know, everybody has to make sacrifices. 7. - Joey - . I don't know, it's just not fair.  I think you've already made your sacrifice. 8. - Fey - . There's people that have given more though, you know? 9. - Joey - . I just don't see how they can make you leave when you have a new baby - we have a new kid. 10. - Fey - . I know. 11. - Joey - . Then why is that fair?  Why-- 12. - Fey - . There's babies over there, though, that need mothers. 13. - Joey - . I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it. 14. - Fey - . I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix. 15. - Joey - . I'm just trying to think of another way.  I'm just trying to... 16. - Fey - . Just, you know, kicking myself. 17. - Fey - . like you sign up because you need money and 18. - Fey - . things just aren't what they seem. 19. - Joey - . This is a stupid war. 20. - Fey - . We're doing the right thing, though. 21. - Joey - . I know. 22. - Joey - . I just don't see why it has to be you. 23. - Fey - . If not me then, who? 24. - Joey - . What am I going to do? Huh? 25. - Fey - . You'll videotape everything, yeah? 26. - Joey - . Yeah. 27. - Fey - . Maybe you can send it to me, like stream it, yeah? 28. - Joey - . Don't you guys have access to computers over there. 29. - Fey - . Last month--  Yeah. 30. - Joey - . I just don't know how I'm going to do it without you. 31. - Fey - . I have to find sitters. 32. - Joey - . I can't raise a baby by myself.  How? 33. - Fey - . We've got friends, that's why we moved here, huh?  Because there is a day care down the street. 34. - Joey - . I know. 35. - Fey - . And your mother is close by. 36. - Fey - . I'll send you lots of letters. 37. - Fey - . And I want lots and lots and lots of pictures. 38. - Joey - . It's just not fair.|",
1,**Question** (Fey is asking two direct questions)
2,**Statement Opinion** (Joey expresses a subjective judgment)
3,""")"
4,**Statement Opinion** (Joey shares personal confusion and opinion)
5,**Statement Opinion** (Fey expresses uncertainty and personal experience)
6,**Statement Opinion** (Fey shares a generalized belief)
7,**Statement Opinion** (Joey reiterates subjective fairness and opinion)
8,**Statement Opinion** (Fey counters with a comparative opinion)
9,**Statement Opinion** (Joey questions the situation based on personal circumstances)
10,**Acknowledge** (Fey acknowledges Joey's point)
11,**Question** (Joey challenges with direct questions)
12,**Statement Opinion** (Fey justifies with a subjective perspective)
13,**Question** (Joey questions Fey’s acceptance)
14,**Statement Opinion** (Fey expresses resignation and personal view)
15,**Statement Opinion** (Joey states his mental effort)
16,**Statement Opinion** (Fey shares self-critical opinion)
17,**Statement Opinion** (Fey explains motivation subjectively)
18,**Statement Opinion** (Fey offers a subjective observation)
19,**Statement Opinion** (Joey gives a judgmental opinion)
20,**Statement Opinion** (Fey asserts a moral belief)
21,**Acknowledge** (Joey acknowledges Fey’s point)
22,**Statement Opinion** (Joey expresses personal confusion)
23,**Question** (Fey poses a rhetorical question)
24,**Question** (Joey asks two direct questions)
25,**Question** (Fey asks for confirmation)
26,"**Agreement** (Joey agrees with ""Yeah"")"
27,**Question** (Fey requests confirmation)
28,**Question** (Joey asks for information)
29,"**Answer** (Fey responds to the prior question, albeit indirectly)"
30,**Statement Opinion** (Joey shares emotional concern)
31,**Statement Non Opinion** (Fey states a practical action factually)
32,"**Question** (Joey asks ""How?"" after a statement)"
33,**Statement Non Opinion** (Fey provides factual reasons)
34,"**Acknowledge** (Joey acknowledges with ""I know"")"
35,**Statement Non Opinion** (Fey states a fact about proximity)
36,**Statement Non Opinion** (Fey declares a future action)
37,**Statement Opinion** (Fey expresses a personal desire)
38,**Statement Opinion** (Joey restates subjective judgment)
1,Question
2,Statement Non Opinion
3,Acknowledge
4,Statement Non Opinion
5,Question
6,Answer
7,Question
8,Answer
9,Question
10,Answer
11,Statement Non Opinion
12,Question
13,Statement Non Opinion
14,Other
15,Statement Non Opinion
16,Statement Opinion
17,Agreement
18,Agreement
19,Statement Non Opinion
20,Question
21,Statement Non Opinion
22,Command
23,Statement Non Opinion
24,Question
25,Agreement
26,Question
27,Statement Opinion
28,Statement Opinion
29,Statement Opinion
30,Question
31,Answer
32,Statement Opinion
33,Statement Non Opinion
34,Question
35,Answer
36,Question
37,Answer
38,Backchannel
39,Agreement
40,Statement Opinion
41,Backchannel
42,Statement Non Opinion
43,Statement Opinion
44,Agreement
45,Statement Opinion
46,Agreement
47,Statement Non Opinion
48,Agreement
49,Statement Opinion
50,Statement Non Opinion
51,Agreement
52,Statement Non Opinion
