"_texto_CONCATENAR(#¡REF!,"" ("",G1,"") "")",Original_Label,DeepSeek_r1
Excuse me. (Command) ,neutral,neutral
Do you have your forms? (Question) ,frustrated,neutral
Yeah. (Answer) ,neutral,neutral
Let me see them. (Statement Non Opinion ) ,frustrated,neutral
Is there a problem? (Question) ,neutral,surprised
Who told you to get in this line? (Question) ,frustrated,frustrated
You did. (Answer) ,xxx,neutral
You were standing at the beginning and you directed me. (Statement Non Opinion ) ,xxx,frustrated
Okay. But I didn't tell you to get in this line if you are filling out this particular form. (Statement Non Opinion ) ,frustrated,neutral
Well what's the problem?  Let me change it. (Question) ,neutral,frustrated
This form is a Z.X.four. (Statement Non Opinion ) ,frustrated,neutral
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID. (Answer) ",frustrated,frustrated
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen. (Statement Non Opinion ) ,frustrated,frustrated
No. I need another set of ID to prove this is actually you. (Statement Non Opinion ) ,frustrated,neutral
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place? (Question) ,frustrated,frustrated
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID. (Answer) ,frustrated,frustrated
I'm here to get an ID. (Statement Non Opinion ) ,frustrated,frustrated
"No.  I need another ID, a separate one. (Statement Non Opinion ) ",frustrated,neutral
Like what?  Like a birth certificate? (Question) ,frustrated,frustrated
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything? (Statement Non Opinion ) ",frustrated,frustrated
Who the hell has a birth certificate? (Question) ,xxx,anger
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here? (Question) ",frustrated,frustrated
"Yeah.  We keep it on file, but we need an ID to access that file. (Answer) ",frustrated,neutral
That's out of control. (Statement Opinion) ,anger,anger
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID. (Statement Opinion) ,anger,frustrated
How long have you been working here? (Question) ,frustrated,frustrated
Actually too long. (Answer) ,xxx,frustrated
"Clearly.  You know, do you have like a supervisor or something? (Question) ",neutral,anger
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back. (Statement Non Opinion ) ,anger,frustrated
That would - I would appreciate that.  Yeah. (Acknowledge ) ,frustrated,neutral
Did you get the mail? So you saw my letter? (Question) ,sad,neutral
It's not fair. (Statement Opinion) ,xxx,frustrated
Yeah.  I know. (Agreement) ,sad,neutral
"I don't understand.  You've already done so much, I don't know why do you have to go back. (Statement Opinion) ",sad,frustrated
I don't know.  I put in that. request too. They didn't... (Statement Non Opinion ) ,sad,neutral
"I guess, you know, everybody has to make sacrifices. (Statement Opinion) ",neutral,sad
"I don't know, it's just not fair.  I think you've already made your sacrifice. (Statement Opinion) ",xxx,frustrated
"There's people that have given more though, you know? (Statement Non Opinion ) ",sad,neutral
I just don't see how they can make you leave when you have a new baby - we have a new kid. (Statement Opinion) ,frustrated,frustrated
I know. (Agreement) ,sad,neutral
Then why is that fair?  Why-- (Question) ,xxx,frustrated
"There's babies over there, though, that need mothers. (Answer) ",neutral,neutral
I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it. (Question) ,sad,frustrated
"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix. (Answer) ",xxx,frustrated
I'm just trying to think of another way.  I'm just trying to... (Statement Non Opinion ) ,xxx,neutral
"Just, you know, kicking myself. (Statement Non Opinion ) ",sad,sad
like you sign up because you need money and (Statement Non Opinion ) ,xxx,neutral
things just aren't what they seem. (Statement Non Opinion ) ,sad,neutral
This is a stupid war. (Statement Opinion) ,xxx,frustrated
"We're doing the right thing, though. (Statement Opinion) ",xxx,neutral
I know. (Agreement) ,frustrated,neutral
I just don't see why it has to be you. (Statement Opinion) ,sad,frustrated
"If not me then, who? (Question) ",sad,neutral
What am I going to do? Huh? (Question) ,sad,fear
"You'll videotape everything, yeah? (Answer) ",sad,neutral
Yeah. (Agreement) ,sad,neutral
"Maybe you can send it to me, like stream it, yeah? (Statement Opinion) ",sad,neutral
Don't you guys have access to computers over there. (Question) ,neutral,neutral
Last month--  Yeah. (Answer) ,sad,neutral
I just don't know how I'm going to do it without you. (Statement Opinion) ,sad,fear
I have to find sitters. (Statement Non Opinion ) ,neutral,neutral
I can't raise a baby by myself.  How? (Question) ,sad,fear
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street. (Answer) ",sad,neutral
I know. (Agreement) ,neutral,neutral
And your mother is close by. (Statement Non Opinion ) ,neutral,neutral
I'll send you lots of letters. (Statement Non Opinion ) ,sad,neutral
And I want lots and lots and lots of pictures. (Command) ,sad,neutral
It's just not fair. (Statement Opinion) ,frustrated,frustrated
So what's up?  What's new? (Question) ,neutral,neutral
Well Vegas was awesome. (Answer) ,happy,excited
Yeah.  I heard. (Agreement) ,neutral,neutral
"And, um, I got married. (Statement Non Opinion ) ",happy,happy
Shut up.  No- in Vegas? (Question) ,surprise,surprised
Yeah.  In the old town part. (Answer) ,happy,neutral
Who did you marry? (Question) ,excited,neutral
Chuck. [LAUGHTER] (Others) ,xxx,happy
Did you propose to you? (Question) ,xxx,neutral
Um- Yes.  It was very romantic. (Answer) ,happy,happy
It was at the slot machines. (Statement Non Opinion ) ,happy,neutral
Oh.  The Wheel of Fortune slots? (Question) ,xxx,neutral
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride. (Statement Non Opinion ) ",happy,happy
He turned to you and was like... (Statement Non Opinion ) ,neutral,neutral
Hey.  Let's get married and I said okay. (Statement Non Opinion ) ,xxx,neutral
[LAUGHTER] That's really romantic. (Statement Opinion) ,happy,happy
"Yeah.  Well.  You know, because he's leaving the next day. (Agreement) ",happy,neutral
Yeah. (Agreement) ,neutral,neutral
But we're going to have a honeymoon cruise. (Statement Non Opinion ) ,happy,excited
"Does that mean that you're going to get citizenship, too, in- in England or whatever? (Question) ",neutral,neutral
Oh.  I hadn't even thought about that. (Answer) ,happy,neutral
Yeah.  Think about that. (Command) ,xxx,neutral
"He's not going to be a citizen, though. (Statement Non Opinion ) ",xxx,neutral
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time? (Question) ,neutral,neutral
Oh.  Totally. (Agreement) ,happy,happy
"Oh, how are you going to do the long distance thing?  So wait, are you going to move there? (Question) ",xxx,neutral
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER] (Answer) ,happy,happy
Like you need another one of those.[LAUGHTER] (Statement Opinion) ,happy,happy
I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm. (Statement Opinion) ,xxx,neutral
Is that your phone? (Question) ,happy,neutral
"Yeah, so [LAUGHTER] He's calling me now (Answer) ",excited,happy
He loves you. (Statement Non Opinion ) ,happy,neutral
"He likes to keep tabs, you know. (Statement Non Opinion ) ",happy,neutral
How much did he win at the slot? (Question) ,neutral,neutral
"Uh, I think seven hundred and fifty dollars. (Answer) ",neutral,neutral
Really? Penny slots? (Question) ,surprise,surprised
Penny slots. That's what he plays. (Answer) ,neutral,neutral
Wow. (Acknowledge ) ,surprise,surprised
Yeah. (Agreement) ,neutral,neutral
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know. (Statement Non Opinion ) ,neutral,frustrated
Oh. (Backchannel) ,xxx,neutral
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like- (Statement Non Opinion ) ,happy,neutral
"But the pennies always get you because you end up spending like, you know, fifty bucks. (Statement Opinion) ",neutral,frustrated
Fifty bucks. Mmhmm. (Backchannel) ,neutral,neutral
"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you. (Statement Opinion) ",neutral,frustrated
Yeah. (Agreement) ,neutral,neutral
Well so now we're married. We have cat children. (Statement Non Opinion ) ,happy,happy
Awesome. (Acknowledge ) ,excited,happy
[LAUGHTER] Cat babies. (Statement Non Opinion ) ,happy,happy
"We renamed Brenda, Lumber Janet. (Statement Non Opinion ) ",happy,neutral
That's fair enough. (Statement Opinion) ,neutral,neutral
She needs a new name each state that we go into. [LAUGHTER] (Statement Non Opinion ) ,happy,happy
"Have you tried, uh, Craig's List? (Question) ",neutral,neutral
"Uh, what?  Craig's List?  Oh the internet thing? (Question) ",neutral,surprised
Yeah. (Agreement) ,neutral,neutral
I don't know.  Isn't that-- that's all like escort services and things like that. (Statement Opinion) ,neutral,neutral
No.  There's regular jobs on there. (Disagreement) ,neutral,neutral
"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board. (Statement Opinion) ",frustrated,frustrated
Uh huh. (Backchannel) ,neutral,neutral
I'm just saying I have a friend that got a good job on it so I was just recommending it. (Statement Non Opinion ) ,neutral,neutral
What kind of a job? (Question) ,xxx,neutral
He's like a manager for a theatre. (Answer) ,neutral,neutral
Really? (Question) ,xxx,surprised
He's like a house manager. Yeah.  It's a good job. (Answer) ,neutral,neutral
He just... (Backchannel) ,neutral,neutral
you know what?  I heard about that job.  I applied for that. (Statement Non Opinion ) ,neutral,neutral
You did? (Question) ,neutral,surprised
Yeah.  I saw a posting at the theatre. (Answer) ,frustrated,neutral
Yeah. (Backchannel) ,neutral,neutral
He got it? (Question) ,xxx,surprised
You've been looking for a job for a long time; that was a long time ago.  Right? (Question) ,neutral,neutral
Yeah. (Answer) ,neutral,neutral
Hmm. (Backchannel) ,neutral,neutral
What did he do?  What was so great?  I don't understand why they would pick him over me. (Question) ,xxx,frustrated
I don't know.  He had a really good resume I guess and-- (Answer) ,neutral,neutral
A resume? (Question) ,xxx,surprised
Yeah.  Do you have a resume? (Question) ,neutral,neutral
No. (Answer) ,xxx,neutral
It's kind of helpful when getting a job. (Statement Opinion) ,neutral,neutral
I just- I mean I call people up and I tell them what I'm good at. (Statement Non Opinion ) ,neutral,frustrated
Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out. (Statement Opinion) ,neutral,neutral
Yeah. (Agreement) ,neutral,neutral
I don't like- I don't like sending things in the mail.  I don't want my information out there. (Statement Opinion) ,xxx,frustrated
"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of-- (Statement Non Opinion ) ",neutral,neutral
I'm there in front of them.  I'm telling them what I'm good at. (Statement Non Opinion ) ,frustrated,frustrated
"Yeah.  But the piece of paper helps, too. (Statement Opinion) ",neutral,neutral
Why?  It's a piece of paper. (Question) ,frustrated,frustrated
"No.  But it has an outline, you know. (Answer) ",neutral,neutral
"I just don't want this paper trail, you know.  I just don't want things following me around, like-. (Statement Non Opinion ) ",frustrated,frustrated
"I know.  Okay.  Well, um. Maybe-- (Agreement) ",neutral,neutral
"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but... (Statement Non Opinion ) ",frustrated,frustrated
Yeah. (Backchannel) ,neutral,neutral
"Okay, yeah.  I would imagine. (Agreement) ",neutral,neutral
..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way. (Statement Opinion) ,xxx,frustrated
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now. (Statement Opinion) ",neutral,neutral
"That's baloney, that's baloney. (Statement Opinion) ",frustrated,anger
Please. (Disagreement) ,frustrated,anger
maybe get a car. (Statement Opinion) ,neutral,neutral
"I just, you know, think you should try a little harder maybe. (Statement Opinion) ",neutral,neutral
you think that you're better than me because I don't have a car? (Question) ,frustrated,neutral
I didn't say that. (Disagreement) ,neutral,neutral
"You know, you're riding the bus, too. (Statement Non Opinion ) ",frustrated,anger
"I am riding the bus, but by choice. (Statement Opinion) ",neutral,neutral
Why?  What choice? (Question) ,frustrated,anger
"To save the environment, carpool. (Answer) ",neutral,neutral
You're saving the environment. mmhmm (Statement Non Opinion ) ,frustrated,frustrated
Yes.  One less car at a time. (Agreement) ,neutral,neutral
Interesting.  That's fantastic. (Acknowledge ) ,frustrated,frustrated
Mmhmm. (Backchannel) ,neutral,neutral
"You know, you don't have to take out your frustration on me, you know, just because... (Statement Non Opinion ) ",frustrated,neutral
I'm not frustrated. (Disagreement) ,anger,anger
...you can't get a job and refuse to have a resume. (Statement Non Opinion ) ,frustrated,neutral
Who do you think you are? (Question) ,anger,anger
I don't think I'm anyone. (Answer) ,neutral,neutral
You are so high and mighty.  I just-- (Statement Opinion) ,anger,anger
I- I-I didn't-- okay. (Backchannel) ,neutral,neutral
Oh.  I'm saving the environment. I'm riding this car because I- I want to. (Statement Opinion) ,anger,anger
What?  No. (Disagreement) ,xxx,surprised
What? Oh.  So now you're... (Statement Non Opinion ) ,frustrated,neutral
"The bus, I'm riding the bus because I want to. (Statement Opinion) ",anger,anger
you know what?  You don't have to take your anger and your hurt out on me. (Command) ,frustrated,neutral
I can not-- you are not here by choice.  Nobody would ride this bus by choice. (Statement Opinion) ,anger,anger
Why not? (Question) ,xxx,surprised
Hi. (Greeting) ,frustrated,neutral
Hi.  Thanks for waiting. (Greeting) ,neutral,neutral
Yeah. This is the fourth line that I have been in. (Statement Non Opinion ) ,frustrated,frustrated
Can I help you? (Question) ,happy,neutral
Uh huh. (Backchannel) ,happy,neutral
I need my bag. (Statement Non Opinion ) ,frustrated,frustrated
Okay. (Backchannel) ,neutral,neutral
"I flew in over three hours ago, I've been in four different lines. (Statement Non Opinion ) ",frustrated,frustrated
Okay. (Backchannel) ,neutral,neutral
I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here. (Statement Non Opinion ) ,frustrated,frustrated
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there. (Question) ,neutral,neutral
Nash. (Answer) ,frustrated,neutral
Okay. (Backchannel) ,neutral,neutral
No G. (Statement Non Opinion ) ,xxx,neutral
all right- okay.  And you lost your bag? Is that- that the issue? (Question) ,neutral,neutral
Yes. (Agreement) ,frustrated,frustrated
Flight seven fourteen. (Statement Non Opinion ) ,anger,neutral
Uh-huh. (Backchannel) ,neutral,neutral
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here? (Question) ",anger,frustrated
"Yeah. Yeah, I don't see- I don't see any-- (Answer) ",neutral,neutral
"I don't see any record of it, and I-usually when I don't see a record of it, that means um- (Statement Non Opinion ) ",neutral,neutral
"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again... (Apology) ",neutral,neutral
"Oh, Are you kidding me? (Question) ",xxx,anger
"for such an inconvenience and your bag, but (Apology) ",neutral,neutral
Is this a joke? (Question) ,anger,anger
Yeah. (Backchannel) ,neutral,neutral
"No, no. (Disagreement) ",neutral,neutral
"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline. (Question) ",anger,surprised
"No, no.  This is real. (Answer) ",neutral,neutral
So you'll give me money and then I'll get my bag? (Question) ,xxx,neutral
"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because... (Answer) ",neutral,neutral
this is the only track record that we have and if it's not listed here then it's probably not anywhere. (Statement Non Opinion ) ,neutral,neutral
"You're kidding me, this is a joke. (Statement Opinion) ",anger,anger
"Once again, I'm really- I'm really sorry. (Apology) ",xxx,neutral
Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive. (Question) ,anger,anger
Yes. (Backchannel) ,neutral,neutral
I know. (Agreement) ,neutral,neutral
We flew in from Paris.  I've been shopping for three weeks. (Statement Non Opinion ) ,anger,frustrated
"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable-- (Statement Non Opinion ) ",xxx,neutral
