Text,DS_emotion
1,"**Apology** (Polite attention-getter, not literal apology)"
2,**Question**
3,**Answer**
4,**Command**
5,**Question**
6,**Question**
7,**Answer**
8,**Statement Non Opinion** (Factual explanation)
9,""" signals disagreement)"
10,""")"
11,**Statement Non Opinion**
12,**Statement Non Opinion**
13,"**Question** (""What?"") + **Statement Non Opinion**"
14,""") + **Statement Non Opinion**"
15,**Question**
16,**Statement Non Opinion**
17,**Statement Non Opinion**
18,""") + **Statement Non Opinion**"
19,"**Question** (""Like what?"") + **Question** (""Like a birth certificate?"")"
20,**Statement Non Opinion**
21,**Statement Opinion** (Rhetorical question expressing disbelief/opinion)
22,**Statement Non Opinion**
23,**Statement Non Opinion**
24,**Statement Opinion**
25,**Statement Opinion**
26,**Question**
27,**Statement Opinion**
28,""") + **Question**"
29,""")"
30,**Agreement**
1,Question
2,Statement Opinion
3,Agreement
4,Statement Opinion
5,Statement Non Opinion
6,Statement Opinion
7,Statement Opinion
8,Statement Opinion
9,Statement Opinion
10,Acknowledge
11,Question
12,Statement Non Opinion
13,Question
14,Statement Opinion
15,Statement Non Opinion
16,Statement Opinion
17,Statement Non Opinion
18,Statement Opinion
19,Statement Opinion
20,Statement Opinion
21,Agreement
22,Statement Opinion
23,Question
24,Question
25,Question
26,Agreement
27,Question
28,Question
29,Answer
30,Statement Opinion
31,Statement Non Opinion
32,Statement Opinion
33,Statement Non Opinion
34,Agreement
35,Statement Non Opinion
36,Statement Non Opinion
37,Statement Opinion
38,Statement Opinion
1,Greeting
2,Statement Opinion
3,Acknowledge
4,Statement Non Opinion
5,Question
6,Answer
7,Question
8,Answer
9,Question
10,Answer
11,Statement Non Opinion
12,Question
13,Answer
14,Question
15,Answer
16,Statement Opinion
17,Statement Non Opinion
18,Backchannel
19,Statement Non Opinion
20,Question
21,Answer
22,Command
23,Statement Non Opinion
24,Question
25,Answer
26,Question
27,Answer
28,Statement Opinion
29,Statement Non Opinion
30,Question
31,Answer
32,Statement Opinion
33,Statement Non Opinion
34,Question
35,Answer
36,Question
37,Answer
38,Backchannel
39,Backchannel
40,Statement Opinion
41,Backchannel
42,Statement Non Opinion
43,Statement Opinion
44,Backchannel
45,Statement Opinion
46,Backchannel
47,Statement Non Opinion
48,Statement Opinion
49,Statement Non Opinion
50,Statement Non Opinion
51,Agreement
52,Statement Non Opinion
1,**Question** (Joey asks for information)
2,**Question** (Fey seeks clarification)
3,**Answer** (Joey responds affirmatively to Fey's question)
4,**Statement Opinion** (Fey expresses a personal belief about Craig's List)
5,**Disagreement** (Joey contradicts Fey's opinion)
6,**Statement Opinion** (Fey shares her view on job-search methods)
7,**Backchannel** (Joey provides minimal acknowledgment)
8,**Statement Non Opinion** (Joey states a factual recommendation)
9,**Question** (Fey inquires about the job type)
10,**Answer** (Joey responds with a job description)
11,**Question** (Fey seeks confirmation)
12,**Answer** (Joey confirms and elaborates)
13,**Statement Non Opinion** (Fey begins a factual statement but trails off)
14,**Statement Non Opinion** (Fey states a fact about her application)
15,**Question** (Joey asks for confirmation)
16,**Answer** (Fey confirms and explains)
17,**Backchannel** (Joey acknowledges Fey's statement)
18,**Question** (Fey asks for confirmation about the job outcome)
19,**Question** (Joey poses a rhetorical question)
20,**Agreement** (Fey agrees with Joey's statement)
21,**Backchannel** (Joey provides a filler response)
22,**Question** (Fey asks multiple questions about the hiring)
23,**Statement Non Opinion** (Joey states a factual guess)
24,**Question** (Fey repeats for emphasis/confirmation)
25,**Question** (Joey asks about Fey's resume)
26,**Answer** (Fey responds negatively)
27,**Statement Opinion** (Joey shares a general belief)
28,**Statement Non Opinion** (Fey describes her method)
29,**Statement Opinion** (Joey suggests a collaborative action)
30,**Agreement** (Fey agrees to the suggestion)
31,**Statement Opinion** (Fey expresses dislike)
32,**Statement Non Opinion** (Joey explains a process)
33,**Statement Non Opinion** (Fey states her approach)
