Conversation,Original_Label,Ds-r1
Excuse me.,neutral,neutral
Do you have your forms?,frustrated,neutral
Yeah.,neutral,neutral
Let me see them.,frustrated,neutral
Is there a problem?,neutral,neutral
Who told you to get in this line?,frustrated,anger
You did.,xxx,neutral
You were standing at the beginning and you directed me.,xxx,neutral
Okay. But I didn't tell you to get in this line if you are filling out this particular form.,frustrated,frustrated
Well what's the problem?  Let me change it.,neutral,neutral
This form is a Z.X.four.,frustrated,neutral
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",frustrated,frustrated
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,frustrated,surprised
No. I need another set of ID to prove this is actually you.,frustrated,frustrated
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,frustrated,frustrated
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,frustrated,frustrated
I'm here to get an ID.,frustrated,neutral
"No.  I need another ID, a separate one.",frustrated,frustrated
Like what?  Like a birth certificate?,frustrated,frustrated
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",frustrated,frustrated
Who the hell has a birth certificate?,xxx,anger
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",frustrated,frustrated
"Yeah.  We keep it on file, but we need an ID to access that file.",frustrated,frustrated
That's out of control.,anger,frustrated
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,anger,frustrated
How long have you been working here?,frustrated,neutral
Actually too long.,xxx,frustrated
"Clearly.  You know, do you have like a supervisor or something?",neutral,frustrated
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,anger,frustrated
That would - I would appreciate that.  Yeah.,frustrated,happy
Did you get the mail? So you saw my letter?,sad,fear
It's not fair.,xxx,frustrated
Yeah.  I know.,sad,frustrated
"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad,frustrated
I don't know.  I put in that. request too. They didn't...,sad,frustrated
"I guess, you know, everybody has to make sacrifices.",neutral,frustrated
"I don't know, it's just not fair.  I think you've already made your sacrifice.",xxx,frustrated
"There's people that have given more though, you know?",sad,frustrated
I just don't see how they can make you leave when you have a new baby - we have a new kid.,frustrated,frustrated
I know.,sad,neutral
Then why is that fair?  Why--,xxx,frustrated
"There's babies over there, though, that need mothers.",neutral,sad
I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad,frustrated
"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",xxx,frustrated
I'm just trying to think of another way.  I'm just trying to...,xxx,frustrated
"Just, you know, kicking myself.",sad,frustrated
like you sign up because you need money and,xxx,frustrated
things just aren't what they seem.,sad,frustrated
This is a stupid war.,xxx,frustrated
"We're doing the right thing, though.",xxx,frustrated
I know.,frustrated,neutral
I just don't see why it has to be you.,sad,frustrated
"If not me then, who?",sad,frustrated
What am I going to do? Huh?,sad,fear
"You'll videotape everything, yeah?",sad,neutral
Yeah.,sad,neutral
"Maybe you can send it to me, like stream it, yeah?",sad,neutral
Don't you guys have access to computers over there.,neutral,surprised
Last month--  Yeah.,sad,neutral
I just don't know how I'm going to do it without you.,sad,sad
I have to find sitters.,neutral,frustrated
I can't raise a baby by myself.  How?,sad,sad
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad,happy
I know.,neutral,neutral
And your mother is close by.,neutral,neutral
I'll send you lots of letters.,sad,excited
And I want lots and lots and lots of pictures.,sad,excited
It's just not fair.,frustrated,frustrated
So what's up?  What's new?,neutral,neutral
Well Vegas was awesome.,happy,happy
Yeah.  I heard.,neutral,neutral
"And, um, I got married.",happy,happy
Shut up.  No- in Vegas?,surprise,surprised
Yeah.  In the old town part.,happy,neutral
Who did you marry?,excited,neutral
Chuck. [LAUGHTER],xxx,happy
Did you propose to you?,xxx,surprised
Um- Yes.  It was very romantic.,happy,happy
It was at the slot machines.,happy,neutral
Oh.  The Wheel of Fortune slots?,xxx,surprised
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",happy,excited
He turned to you and was like...,neutral,neutral
Hey.  Let's get married and I said okay.,xxx,happy
[LAUGHTER] That's really romantic.,happy,happy
"Yeah.  Well.  You know, because he's leaving the next day.",happy,sad
Yeah.,neutral,neutral
But we're going to have a honeymoon cruise.,happy,excited
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neutral,neutral
Oh.  I hadn't even thought about that.,happy,surprised
Yeah.  Think about that.,xxx,frustrated
"He's not going to be a citizen, though.",xxx,sad
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neutral,excited
Oh.  Totally.,happy,neutral
"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",xxx,surprised
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],happy,happy
Like you need another one of those.[LAUGHTER],happy,frustrated
I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,xxx,frustrated
Is that your phone?,happy,neutral
"Yeah, so [LAUGHTER] He's calling me now",excited,happy
He loves you.,happy,happy
"He likes to keep tabs, you know.",happy,fear
How much did he win at the slot?,neutral,excited
"Uh, I think seven hundred and fifty dollars.",neutral,fear
Really? Penny slots?,surprise,frustrated
Penny slots. That's what he plays.,neutral,neutral
Wow.,surprise,surprised
Yeah.,neutral,neutral
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neutral,frustrated
Oh.,xxx,neutral
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,happy,neutral
"But the pennies always get you because you end up spending like, you know, fifty bucks.",neutral,frustrated
Fifty bucks. Mmhmm.,neutral,neutral
"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neutral,frustrated
Yeah.,neutral,neutral
Well so now we're married. We have cat children.,happy,happy
Awesome.,excited,excited
[LAUGHTER] Cat babies.,happy,happy
"We renamed Brenda, Lumber Janet.",happy,neutral
That's fair enough.,neutral,neutral
She needs a new name each state that we go into. [LAUGHTER],happy,happy
"Have you tried, uh, Craig's List?",neutral,neutral
"Uh, what?  Craig's List?  Oh the internet thing?",neutral,surprised
Yeah.,neutral,neutral
I don't know.  Isn't that-- that's all like escort services and things like that.,neutral,fear
No.  There's regular jobs on there.,neutral,frustrated
