Conversation, ChatGPT
1,Statement Opinion
2,Answer
3,Statement Non Opinion
4,Statement Non Opinion
5,Question
6,Statement Non Opinion
7,Question
8,Statement Non Opinion
9,Backchannel
10,Statement Non Opinion
11,Question
12,Statement Non Opinion
13,Statement Non Opinion
14,Statement Non Opinion
15,Question
16,Statement Non Opinion
17,Question
18,Statement Non Opinion
19,Statement Opinion
20,Statement Non Opinion
21,Question
22,Statement Non Opinion
23,Question
24,Statement Non Opinion
25,Question
26,Statement Non Opinion
27,Question
28,Statement Non Opinion
29,Question
30,Statement Non Opinion
31,Command
32,Statement Non Opinion
33,Statement Non Opinion
34,Statement Opinion
35,Statement Non Opinion
36,Statement Non Opinion
37,Statement Non Opinion
38,Command
39,Question
40,Statement Non Opinion
41,Question
42,Statement Non Opinion
43,Statement Non Opinion
44,Statement Non Opinion
45,Statement Non Opinion
46,Statement Non Opinion
47,Acknowledge
48,Statement Non Opinion
49,Question
50,Answer
51,Backchannel
52,Statement Non Opinion
53,Statement Non Opinion
54,Statement Non Opinion
55,Statement Opinion
56,Statement Non Opinion
57,Statement Non Opinion
58,Statement Non Opinion
59,Statement Opinion
60,Statement Non Opinion
61,Statement Non Opinion
62,Statement Non Opinion
63,Statement Opinion
64,Question
65,Statement Non Opinion
66,Statement Opinion
67,Statement Opinion
68,Question
1,Question
2,Statement Non Opinion
3,Answer
4,Question
5,Statement Non Opinion
6,Question
7,Statement Non Opinion
8,Statement Non Opinion
9,Question
10,Statement Non Opinion
11,Agreement
12,Statement Non Opinion
13,Agreement
14,Question
15,Answer
16,Question
17,Statement Non Opinion
18,Statement Non Opinion
19,Statement Non Opinion
20,Question
21,Command
22,Disagreement
23,Statement Non Opinion
24,Agreement
25,Statement Non Opinion
26,Statement Non Opinion
27,Command
28,Disagreement
29,Statement Opinion
30,Question
31,Statement Opinion
32,Statement Non Opinion
33,Statement Non Opinion
34,Statement Non Opinion
35,Statement Non Opinion
36,Statement Non Opinion
37,Question
38,Answer
39,Statement Non Opinion
40,Statement Non Opinion
41,Statement Opinion
42,Statement Opinion
43,Question
44,Answer
45,Statement Non Opinion
46,Statement Non Opinion
47,Statement Non Opinion
48,Statement Non Opinion
49,Statement Non Opinion
50,Question
51,Statement Opinion
52,Statement Non Opinion
53,Statement Non Opinion
54,Statement Non Opinion
55,Statement Non Opinion
56,Question
1,Question
2,Question
3,Question
4,Statement Opinion
5,Statement Non Opinion
6,Statement Opinion
7,Statement Non Opinion
8,Statement Non Opinion
9,Question
10,Statement Opinion
11,Question
12,Statement Opinion
13,Question
14,Statement Non Opinion
15,Statement Non Opinion
16,Statement Opinion
17,Question
18,Statement Non Opinion
19,Statement Opinion
20,Statement Non Opinion
21,Statement Opinion
22,Statement Non Opinion
23,Question
24,Statement Non Opinion
25,Statement Opinion
26,Statement Non Opinion
27,Statement Non Opinion
28,Statement Non Opinion
29,Statement Non Opinion
30,Statement Non Opinion
31,Statement Non Opinion
32,Statement Non Opinion
33,Statement Non Opinion
34,Statement Non Opinion
35,Statement Non Opinion
36,Statement Opinion
37,Question
38,Statement Non Opinion
39,Question
40,Statement Non Opinion
41,Question
42,Statement Non Opinion
43,Question
44,Statement Non Opinion
45,Question
46,Statement Non Opinion
47,Question
48,Statement Non Opinion
49,Question
50,Statement Non Opinion
51,Statement Non Opinion
52,Statement Opinion
53,Statement Non Opinion
54,Statement Non Opinion
55,Statement Non Opinion
56,Statement Non Opinion
57,Statement Non Opinion
58,Statement Non Opinion
59,Agreement
60,Statement Non Opinion
61,Acknowledge
62,Statement Non Opinion
63,Question
64,Statement Non Opinion
65,Statement Non Opinion
66,Statement Non Opinion
67,Question
68,Question
69,Statement Non Opinion
70,Statement Non Opinion
71,Statement Non Opinion
72,Statement Non Opinion
73,Acknowledge
74,Statement Non Opinion
75,Statement Non Opinion
76,Statement Non Opinion
77,Statement Non Opinion
78,Question
79,Statement Non Opinion
80,Command
81,Statement Non Opinion
82,Statement Non Opinion
1,Statement Non Opinion
2,Question
3,Statement Non Opinion
4,Statement Non Opinion
5,Statement Non Opinion
6,Question
7,Statement Non Opinion
8,Statement Non Opinion
9,Statement Non Opinion
10,Statement Non Opinion
11,Statement Non Opinion
12,Statement Non Opinion
13,Question
14,Command
15,Statement Non Opinion
16,Statement Non Opinion
17,Question
18,Statement Non Opinion
19,Command
20,Agreement
21,Statement Opinion
22,Question
23,Statement Non Opinion
24,Question
25,Command
26,Command
27,Question
28,Statement Non Opinion
29,Statement Non Opinion
30,Agreement
31,Statement Non Opinion
32,Question
33,Answer
34,Question
35,Statement Non Opinion
36,Question
