Utterance,Emotion,"No,DS_r1_emotion"
also I was the point person on my company's transition from the KL-5 to GR-6 system. (neutral),neutral,neutral
You must've had your hands full. (neutral),neutral,neutral
That I did. That I did. (neutral),neutral,neutral
So let's talk a little bit about your duties. (neutral),neutral,neutral
My duties? All right. (surprise),surprise,neutral
"Now you'll be heading a whole division, so you'll have a lot of duties. (neutral)",neutral,neutral
I see. (neutral),neutral,neutral
But there'll be perhaps 30 people under you so you can dump a certain amount on them. (neutral),neutral,neutral
Good to know. (neutral),neutral,neutral
We can go into detail (neutral),neutral,neutral
No don't I beg of you! (fear),fear,fear
"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here. (neutral)",neutral,joy
Really?! (surprise),surprise,surprised
Absolutely. You can relax (neutral),neutral,neutral
But then who? The waitress I went out with last month? (surprise),surprise,surprised
You know? Forget it! (sadness),sadness,anger
"No-no-no-no, no! Who, who were you talking about? (surprise)",surprise,surprised
"No, I-I-I-I don't, I actually don't know (fear)",fear,fear
Ok! (neutral),neutral,neutral
"All right, well... (neutral)",neutral,neutral
"Yeah, sure! (neutral)",neutral,anger
"Hey, Mon. (neutral)",neutral,neutral
Hey-hey-hey. You wanna hear something that sucks. (neutral),neutral,sadness
Do I ever. (joy),joy,neutral
Chris says they're closing down the bar. (sadness),sadness,sadness
No way! (surprise),surprise,surprised
"Yeah, apparently they're turning it into some kinda coffee place. (neutral)",neutral,sadness
Just coffee! Where are we gonna hang out now? (disgust),disgust,sadness
Got me. (sadness),sadness,neutral
Can I get a beer. (neutral),neutral,neutral
"Hey, did you pick a roommate? (neutral)",neutral,neutral
You betcha! (joy),joy,joy
Is it the Italian guy? (neutral),neutral,neutral
"Um-mm, yeah right! (joy)",joy,disgust
"Oh my God, oh my God! Poor Monica! (surprise)",surprise,surprised
"What, what, what?! (surprise)",surprise,surprised
What?! (surprise),surprise,surprised
He was with her when he wrote this poem. (neutral),neutral,disgust
"Look, 'My vessel so empty with nothing inside. (neutral)",neutral,sadness
"Now that I've touched you, you seem emptier still.' (neutral)",neutral,sadness
"He thinks Monica is empty, she is the empty vase! (surprise)",surprise,disgust
"Oh, totally. Oh, God, oh, she seemed so happy too. (sadness)",sadness,sadness
Done. (neutral),neutral,neutral
Hey! (surprise),surprise,neutral
Hi! (joy),joy,neutral
What are you doing here? (surprise),surprise,surprised
"Ah y'know, this building is on my paper route so I... (neutral)",neutral,neutral
Oh. (neutral),neutral,neutral
Hi. (neutral),neutral,neutral
Hi. (neutral),neutral,neutral
How'd did it go? (neutral),neutral,neutral
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up. (joy)",joy,joy
I'm so proud of you. (joy),joy,joy
Me too! (joy),joy,joy
"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so... (sadness)",sadness,sadness
I know. (neutral),neutral,neutral
Yeah. (neutral),neutral,neutral
Yeah. (neutral),neutral,neutral
Ameri-can. (neutral),neutral,neutral
Ameri-ccan. (neutral),neutral,neutral
Ameri-can. Y'know it's a (neutral),neutral,neutral
Everybody!! (surprise),surprise,joy
Good job Joe! Well done! Top notch! (joy),joy,joy
You liked it? You really liked it? (surprise),surprise,joy
"Oh-ho-ho, yeah! (joy)",joy,joy
Which part exactly? (neutral),neutral,neutral
The whole thing! Can we go? (neutral),neutral,joy
"Oh no-no-no, give me some specifics. (anger)",anger,neutral
"I love the specifics, the specifics were the best part! (joy)",joy,joy
"Hey, what about the scene with the kangaroo? Did-did you like that part? (neutral)",neutral,neutral
I was surprised to see a kangaroo in a World War I epic. (surprise),surprise,surprised
You fell asleep!! (anger),anger,anger
There was no kangaroo! (anger),anger,anger
They didn't take any of my suggestions! (anger),anger,anger
That's for coming buddy. (neutral),neutral,anger
I'll see you later. (neutral),neutral,neutral
Don't go! (sadness),sadness,fear
I'm sorry. (sadness),sadness,sadness
I'm so sorry! (sadness),sadness,sadness
Look! (surprise),surprise,neutral
This guy fell asleep! (anger),anger,neutral
He fell asleep too! (anger),anger,neutral
Be mad at him! (anger),anger,neutral
"Or, call an ambulance. (anger)",anger,neutral
"Okay, look, I think we have to tell Rachel she messed up her dessert. (neutral)",neutral,neutral
"What?! What is with everybody? It's Thanksgiving, not...Truth-Day! (anger)",anger,surprised
"Yes, and it is my dying wish to have that ring. (neutral)",neutral,sadness
"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity (neutral)",neutral,fear
"Okay, that's enough honey! (neutral)",neutral,anger
I don't know. Let me see the ring. (neutral),neutral,neutral
"Great! Okay, here. (joy)",joy,joy
All right. (neutral),neutral,neutral
Thank you. Thank you. Thank you! And (joy),joy,joy
What've you been up to? (neutral),neutral,neutral
"Oh, you know, the usual, teaching aerobics, partying way too much. (neutral)",neutral,neutral
"Oh, and in case you were wondering, those are my legs on the new James Bond poster. (neutral)",neutral,joy
Can you hold on a moment? I have another call. I love her. (joy),joy,neutral
I know. (neutral),neutral,neutral
I'm back. (neutral),neutral,neutral
"So, are we gonna get together or what? (neutral)",neutral,joy
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish? (neutral)",neutral,fear
"Great, I'll see you then. (neutral)",neutral,joy
Ok. Ok. Having a phone has finally paid off. (joy),joy,joy
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."" (neutral)",neutral,fear
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table. (neutral)",neutral,joy
Oh my god. You are pure evil. (disgust),disgust,disgust
"Ok, pure evil , horny and alone . I've done this (anger)",anger,neutral
Nobody! (anger),anger,anger
Nobody respects the bucket! (anger),anger,anger
You wouldn't believe what people put in here! (anger),anger,disgust
Look! (anger),anger,disgust
"Okay, does this look like a garbage can to you? (anger)",anger,anger
No. (neutral),neutral,neutral
This is my wedding. (neutral),neutral,anger
"All right, y'know what? We really are late! Let's go! Let's go! Let's go!! (anger)",anger,fear
Fine. You'll-you'll watch it on video when we get back. (neutral),neutral,disgust
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo. (joy),joy,joy
Thank you. (neutral),neutral,neutral
Thank you. (neutral),neutral,neutral
"All right, let's go! Bye, Pheebs! (joy)",joy,neutral
"Bye, Pheebs! (joy)",joy,joy
London baby!! (joy),joy,joy
"Oh, do you need a hug? You don't have to bring me anything! (joy)",joy,joy
Hey! (neutral),neutral,neutral
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time. (joy),joy,joy
"That's great, but shouldn't you be on the toilet right now? (disgust)",disgust,neutral
What?! (surprise),surprise,surprised
What's wrong with you? (disgust),disgust,neutral
Nothing! (neutral),neutral,neutral
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since. (fear)",fear,fear
"But um, I don't think it's anything serious. (neutral)",neutral,fear
This sounds like a hernia. You have to--you-you go to the doctor! (surprise),surprise,fear
"No way! 'Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach! (fear)",fear,disgust
That's a hernia. (disgust),disgust,neutral
Why did I have to start working out again? Damn you 15s! (anger),anger,anger
I love your place! Where is this guy from? (joy),joy,joy
Uh that's an eighteenth century Indian artifact from Calcutta. (neutral),neutral,neutral
"Oh wow! So, you're more than just dinosaurs. (surprise)",surprise,surprised
So much more. (neutral),neutral,neutral
"Well, well to sum up, we're having fun, you look young. (neutral)",neutral,joy
Okay (neutral),neutral,neutral
But that's not enough. So... So...here's a key to my apartment. (neutral),neutral,neutral
Really?! (surprise),surprise,surprised
Really. (neutral),neutral,neutral
You don't think this is too fast. (neutral),neutral,fear
Get Out! (anger),anger,anger
"Ross, can I talk to you for a minute? (neutral)",neutral,neutral
"Yes, please! So, what's going on? (neutral)",neutral,joy
"Uh, well... Joey and I broke up. (sadness)",sadness,sadness
"Oh my God, wh-what happened? (surprise)",surprise,surprised
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus! (sadness)",sadness,disgust
I knew that was him! (anger),anger,neutral
"Anyway I just, uh, I think it's for the best. (sadness)",sadness,sadness
"Hey, you ok? (neutral)",neutral,neutral
I guess. (sadness),sadness,sadness
There was hum... there was another reason that I thought it was time to end it with Joey. (neutral),neutral,neutral
I started to realize that I was having feelings for someone else. (neutral),neutral,neutral
"Ok Geller. Last day of the conference, you know what happens to the keynote speaker. (neutral)",neutral,joy
"Oh, professor Clerk we're kind of in the middle of a conversation, here. (neutral)",neutral,neutral
"Yeah, can you guys just throw him in the pool later? (neutral)",neutral,joy
Or we could throw you both in (joy),joy,joy
"Ok, gentlemen! (anger)",anger,neutral
Please! (anger),anger,neutral
Aren't we a little old for this? (anger),anger,neutral
"I mean, we're scientists, right? (neutral)",neutral,neutral
We're academics. (anger),anger,neutral
And most importantly I... you-you will have to catch us first. (joy),joy,joy
"GO, GO, GO! (joy)",joy,joy
"Go, go, go! (joy)",joy,joy
"Oh yeah, now everybody wants to be under this hat! (joy)",joy,disgust
Oy!! (disgust),disgust,disgust
What's with all this sand? (surprise),surprise,neutral
"Oh, yeah, Bob said there might be flood damage. (neutral)",neutral,neutral
"Yeah, either that, or he has a really big cat. (neutral)",neutral,joy
"Okay, see that blind guy right there? I'm gonna bash his head in later. (anger)",anger,anger
"Oh umm, my big scene is coming up. Big scene coming up. (joy)",joy,joy
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference? (neutral)",neutral,neutral
Rach? What are you doing? (neutral),neutral,neutral
"Oh boy, I just can't watch. It's too scary! (fear)",fear,fear
It's a diaper commercial. (neutral),neutral,neutral
"Oh yeah well, you know me, babies, responsibilities, ahhh!!! (fear)",fear,fear
Pizza delivery! (joy),joy,joy
I'll get it! I will get that! (joy),joy,joy
Hi! (joy),joy,neutral
Hi! (joy),joy,neutral
"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh? (neutral)",neutral,neutral
"Uhh, the ball thing. (neutral)",neutral,neutral
Yeah? (neutral),neutral,neutral
"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?! (joy)",joy,joy
"Uhh, (neutral)",neutral,neutral
Okay! (joy),joy,joy
Uh-oh. (fear),fear,fear
What? (neutral),neutral,neutral
I have to pee. And Rachel's in the bathroom! (sadness),sadness,fear
"Man, I didn't think we were gonna make it! (surprise)",surprise,joy
"I know! Don't switch hands, okay? (fear)",fear,joy
Hey. (neutral),neutral,neutral
Hey! (neutral),neutral,joy
How did it go with Erin? (neutral),neutral,neutral
"Oh, unbelievable! We had the best time! (joy)",joy,joy
"Yay!! Oh so, you're not, you're not mad at us anymore? (joy)",joy,surprised
No! (joy),joy,joy
No! (joy),joy,joy
No! (joy),joy,joy
You guys were totally right! (joy),joy,joy
This is so much better than the first time we went out. (joy),joy,joy
Y'know? (neutral),neutral,neutral
"That was so awkward, we were really nervous. (neutral)",neutral,neutral
Didn't you sleep together? (neutral),neutral,surprised
"Yeah, that really calms me down. (neutral)",neutral,disgust
And! (joy),joy,neutral
We have so much in common! (joy),joy,joy
