Conversation,Original_Label,DeepSeek
|also I was the point person on my company's transition from the KL-5 to GR-6 system.|,Statement Non Opinion,Statement Non Opinion
|You must've had your hands full.|,Statement Opinion,Acknowledge
|That I did. That I did.|,Agreement,Acknowledge
|So let's talk a little bit about your duties.|,Statement Non Opinion,Statement Opinion
|My duties? All right.|,Agreement,Command
"|Now you'll be heading a whole division, so you'll have a lot of duties.|",Statement Non Opinion,Command
|I see.|,Agreement,Acknowledge
|But there'll be perhaps 30 people under you so you can dump a certain amount on them.|,Statement Opinion,Command
|Good to know.|,Statement Non Opinion,Acknowledge
|We can go into detail|,Statement Opinion,Answer
|No don't I beg of you!|,Disagreement,Apology
"|All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.|",Statement Opinion,Statement Opinion
|Really?!|,Question,Disegreement
|Absolutely. You can relax|,Answer,Agreement
|But then who? The waitress I went out with last month?|,Question,Question
|You know? Forget it!|,Statement Opinion,Disegreement
"|No-no-no-no, no! Who, who were you talking about?|",Question,Disegreement
"|No, I-I-I-I don't, I actually don't know|",Answer,Disegreement
|Ok!|,Backchannel,Agreement
"|All right, well...|",Others,Backchannel
"|Yeah, sure!|",Backchannel,Agreement
"|Hey, Mon.|",Greeting,Greeting
|Hey-hey-hey. You wanna hear something that sucks.|,Question,Statement Opinion
|Do I ever.|,Others,Agreement
|Chris says they're closing down the bar.|,Statement Non Opinion,Statement Non Opinion
|No way!|,Disagreement,Disegreement
"|Yeah, apparently they're turning it into some kinda coffee place.|",Statement Non Opinion,Statement Opinion
|Just coffee! Where are we gonna hang out now?|,Question,Question
|Got me.|,Others,Acknowledge
|Can I get a beer.|,Question,Command
"|Hey, did you pick a roommate?|",Question,Question
|You betcha!|,Others,Agreement
|Is it the Italian guy?|,Question,Question
"|Um-mm, yeah right!|",Answer,Backchannel
"|Oh my God, oh my God! Poor Monica!|",Statement Non Opinion,Statement Opinion
"|What, what, what?!|",Question,Disegreement
|What?!|,Question,Disegreement
|He was with her when he wrote this poem.|,Statement Non Opinion,Statement Non Opinion
"|Look, 'My vessel so empty with nothing inside.|",Statement Non Opinion,Statement Non Opinion
"|Now that I've touched you, you seem emptier still.'|",Statement Non Opinion,Statement Non Opinion
"|He thinks Monica is empty, she is the empty vase!|",Statement Opinion,Statement Opinion
"|Oh, totally. Oh, God, oh, she seemed so happy too.|",Statement Opinion,Agreement
|Done.|,Agreement,Acknowledge
|Hey!|,Greeting,Greeting
|Hi!|,Greeting,Greeting
|What are you doing here?|,Question,Question
"|Ah y'know, this building is on my paper route so I...|",Statement Non Opinion,Statement Opinion
|Oh.|,Backchannel,Acknowledge
|Hi.|,Greeting,Greeting
|Hi.|,Greeting,Greeting
|How'd did it go?|,Question,Question
"|Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.|",Statement Non Opinion,Statement Opinion
|I'm so proud of you.|,Apology,Statement Opinion
|Me too!|,Agreement,Agreement
"|Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...|",Apology,Apology
|I know.|,Agreement,Acknowledge
|Yeah.|,Backchannel,Acknowledge
|Yeah.|,Backchannel,Acknowledge
|Ameri-can.|,Others,Statement Non Opinion
|Ameri-ccan.|,Others,Others
|Ameri-can. Y'know it's a|,Statement Non Opinion,Statement Non Opinion
|Everybody!!|,Others,Command
|Good job Joe! Well done! Top notch!|,Apology,Agreement
|You liked it? You really liked it?|,Question,Question
"|Oh-ho-ho, yeah!|",Answer,Backchannel
|Which part exactly?|,Question,Question
|The whole thing! Can we go?|,Answer,Question
"|Oh no-no-no, give me some specifics.|",Command,Disegreement
"|I love the specifics, the specifics were the best part!|",Statement Opinion,Statement Opinion
"|Hey, what about the scene with the kangaroo? Did-did you like that part?|",Question,Question
|I was surprised to see a kangaroo in a World War I epic.|,Answer,Statement Opinion
|You fell asleep!!|,Statement Non Opinion,Disegreement
|There was no kangaroo!|,Statement Non Opinion,Disegreement
|They didn't take any of my suggestions!|,Statement Non Opinion,Disegreement
|That's for coming buddy.|,Statement Opinion,Acknowledge
|I'll see you later.|,Statement Non Opinion,Statement Non Opinion
|Don't go!|,Command,Command
|I'm sorry.|,Apology,Apology
|I'm so sorry!|,Apology,Apology
|Look!|,Command,Command
|This guy fell asleep!|,Statement Non Opinion,Statement Non Opinion
|He fell asleep too!|,Statement Non Opinion,Statement Non Opinion
|Be mad at him!|,Statement Opinion,Command
"|Or, call an ambulance.|",Statement Opinion,Command
"|Okay, look, I think we have to tell Rachel she messed up her dessert.|",Statement Opinion,Statement Opinion
"|What?! What is with everybody? It's Thanksgiving, not...Truth-Day!|",Question,Disegreement
"|Yes, and it is my dying wish to have that ring.|",Statement Opinion,Statement Opinion
"|See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity|",Statement Opinion,Statement Opinion
"|Okay, that's enough honey!|",Statement Non Opinion,Command
|I don't know. Let me see the ring.|,Statement Non Opinion,Command
"|Great! Okay, here.|",Agreement,Agreement
|All right.|,Others,Acknowledge
|Thank you. Thank you. Thank you! And|,Acknowledge,Acknowledge
|What've you been up to?|,Question,Question
"|Oh, you know, the usual, teaching aerobics, partying way too much.|",Answer,Statement Opinion
"|Oh, and in case you were wondering, those are my legs on the new James Bond poster.|",Statement Non Opinion,Statement Opinion
|Can you hold on a moment? I have another call. I love her.|,Statement Non Opinion,Command
|I know.|,Agreement,Acknowledge
|I'm back.|,Statement Non Opinion,Acknowledge
"|So, are we gonna get together or what?|",Question,Question
"|Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?|",Answer,Question
"|Great, I'll see you then.|",Agreement,Agreement
|Ok. Ok. Having a phone has finally paid off.|,Statement Non Opinion,Acknowledge
"|Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""|",Statement Opinion,Disegreement
"|I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.|",Statement Opinion,Statement Opinion
|Oh my god. You are pure evil.|,Statement Opinion,Disegreement
"|Ok, pure evil , horny and alone . I've done this|",Statement Non Opinion,Statement Opinion
|Nobody!|,Others,Disegreement
|Nobody respects the bucket!|,Statement Opinion,Disegreement
|You wouldn't believe what people put in here!|,Statement Non Opinion,Statement Opinion
|Look!|,Command,Command
"|Okay, does this look like a garbage can to you?|",Question,Disegreement
|No.|,Answer,Others
|This is my wedding.|,Statement Non Opinion,Statement Non Opinion
"|All right, y'know what? We really are late! Let's go! Let's go! Let's go!!|",Statement Non Opinion,Command
|Fine. You'll-you'll watch it on video when we get back.|,Statement Non Opinion,Acknowledge
|Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.|,Statement Non Opinion,Others
|Thank you.|,Greeting,Acknowledge
|Thank you.|,Greeting,Acknowledge
"|All right, let's go! Bye, Pheebs!|",Greeting,Agreement
"|Bye, Pheebs!|",Greeting,Greeting
|London baby!!|,Others,Statement Non Opinion
"|Oh, do you need a hug? You don't have to bring me anything!|",Statement Opinion,Question
|Hey!|,Greeting,Greeting
|Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.|,Statement Non Opinion,Statement Non Opinion
"|That's great, but shouldn't you be on the toilet right now?|",Question,Disegreement
|What?!|,Question,Disegreement
|What's wrong with you?|,Question,Disegreement
|Nothing!|,Answer,Statement Non Opinion
"|Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.|",Statement Non Opinion,Statement Non Opinion
"|But um, I don't think it's anything serious.|",Statement Opinion,Statement Opinion
|This sounds like a hernia. You have to--you-you go to the doctor!|,Statement Opinion,Command
"|No way! 'Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!|",Disagreement,Disegreement
|That's a hernia.|,Statement Non Opinion,Statement Non Opinion
|Why did I have to start working out again? Damn you 15s!|,Question,Statement Opinion
|I love your place! Where is this guy from?|,Question,Question
