Sentence,Original_Label,DeepSeek
Excuse me. (Command),Command,Apology
Do you have your forms? (frustrated) ,Question,Question
Yeah. (neutral) ,Answer,Answer
Let me see them. (frustrated) ,Statement Non Opinion ,Command
Is there a problem? (neutral) ,Question,Question
Who told you to get in this line? (frustrated) ,Question,Question
You did. (xxx) ,Answer,Answer
You were standing at the beginning and you directed me. (xxx) ,Statement Non Opinion ,Statement Non Opinion
Okay. But I didn't tell you to get in this line if you are filling out this particular form. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
Well what's the problem?  Let me change it. (neutral) ,Question,Question
This form is a Z.X.four. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID. (frustrated) ",Answer,Statement Non Opinion
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
No. I need another set of ID to prove this is actually you. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place? (frustrated) ,Question,Question
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID. (frustrated) ,Answer,Statement Non Opinion
I'm here to get an ID. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
"No.  I need another ID, a separate one. (frustrated) ",Statement Non Opinion ,Statement Non Opinion
Like what?  Like a birth certificate? (frustrated) ,Question,Question
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything? (frustrated) ",Statement Non Opinion ,Statement Non Opinion
Who the hell has a birth certificate? (xxx) ,Question,Question
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here? (frustrated) ",Question,Statement Non Opinion
"Yeah.  We keep it on file, but we need an ID to access that file. (frustrated) ",Answer,Statement Non Opinion
That's out of control. (anger) ,Statement Opinion,Statement Opinion
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID. (anger) ,Statement Opinion,Statement Opinion
How long have you been working here? (frustrated) ,Question,Question
Actually too long. (xxx) ,Answer,Statement Non Opinion
"Clearly.  You know, do you have like a supervisor or something? (neutral) ",Question,Statement Opinion
