Text, DeepSeek-v3
1,neutral
2,neutral
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,fear
12,joy
13,surprised
14,neutral
"|1. - Joey - But then who? The waitress I went out with last month? 2.- Rachel - . You know? Forget it! 3.- Joey - . No-no-no-no, no! Who, who were you talking about? 4.- Rachel - . No, I-I-I-I don't, I actually don't know 5.- Joey - . Ok! 6.- Joey - . All right, well... 7.- Rachel - . Yeah, sure!|","[""anger"", ""neutral"", ""surprised"", ""fear"", ""neutral"", ""neutral"", ""neutral""]"
1,neutral
2,sadness
3,neutral
4,sadness
5,surprised
6,neutral
7,sadness
8,neutral
9,neutral
10,neutral
11,joy
12,neutral
13,disgust
1,surprised
2,surprised
3,surprised
4,neutral
5,neutral
6,neutral
7,sadness
8,sadness
9,neutral
"|1. - Rachel - Hey! 2.- Ross - . Hi! 3.- Rachel - . What are you doing here? 4.- Ross - . Ah y'know, this building is on my paper route so I... 5.- Rachel - . Oh. 6.- Ross - . Hi. 7.- Rachel - . Hi. 8.- Ross - . How'd did it go? 9.- Rachel - . Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up. 10.- Ross - . I'm so proud of you. 11.- Rachel - . Me too! 12.- Ross - . Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so... 13.- Rachel - . I know. 14.- Ross - . Yeah. 15.- Rachel - . Yeah.|","[[""neutral"",1],[""neutral"",2],[""surprised"",3],[""neutral"",4],[""neutral"",5],[""neutral"",6],[""neutral"",7],[""neutral"",8],[""joy"",9],[""joy"",10],[""joy"",11],[""sadness"",12],[""neutral"",13],[""neutral"",14],[""neutral"",15]]"
|1. - Phoebe - Ameri-can. 2.- Joey - . Ameri-ccan. 3.- Phoebe - . Ameri-can. Y'know it's a 4.- Sergei - . Everybody!!|,"[[""neutral"",1],[""neutral"",2],[""neutral"",3],[""joy"",4]]"
1,joy
2,surprised
3,joy
4,neutral
5,joy
6,neutral
7,joy
8,neutral
9,surprised
