text,DeepSeek
1,neutral
2,joy
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,joy
9,neutral
10,neutral
11,fear
12,joy
13,surprise
14,joy
1,- Joey - But then who? The waitress I went out with last month? (Question) - **surprise**
2,- Rachel - You know? Forget it! (Statement Opinion) - **anger**
3,"- Joey - No-no-no-no, no! Who, who were you talking about? (Question) - **fear**"
4,"- Rachel - No, I-I-I-I don't, I actually don't know (Answer) - **sadness**"
5,- Joey - Ok! (Backchannel) - **neutral**
6,(Others) - **neutral**
7,"- Rachel - Yeah, sure! (Backchannel) - **neutral**"
1,(Greeting) - neutral
2,(Question) - sadness
3,(Others) - neutral
4,(Statement Non Opinion) - sadness
5,- Chandler - No way! (Disagreement) - surprise
6,(Statement Non Opinion) - sadness
7,- Chandler - Just coffee! Where are we gonna hang out now? (Question) - anger
8,(Others) - neutral
9,(Question) - neutral
10,"- Monica - Hey, did you pick a roommate? (Question) - neutral"
11,- Chandler - You betcha! (Others) - joy
12,- Monica - Is it the Italian guy? (Question) - neutral
13,"- Chandler - Um-mm, yeah right! (Answer) - disgust"
1,fear
2,surprise
3,surprise
4,sadness
5,sadness
6,sadness
7,anger
8,sadness
9,neutral
1,joy
2,joy
3,surprise
4,neutral
5,neutral
6,joy
7,joy
8,neutral
9,joy
10,joy
11,joy
12,sadness
13,neutral
14,neutral
15,neutral
1,(Others) - **neutral**
2,(Others) - **neutral**
3,Y'know it's a (Statement Non Opinion) - **neutral**
4,Everybody!! (Others) - **joy**
1,joy
2,surprise
3,joy
4,neutral
5,joy
6,anger
7,joy
8,neutral
9,surprise
10,anger
11,anger
12,anger
13,joy
14,neutral
15,fear
16,sadness
17,sadness
18,neutral
19,neutral
20,neutral
21,anger
22,neutral
1,(Statement Opinion) - **neutral**
2,Truth-Day! (Question) - **anger**
1,sadness
2,fear
3,anger
4,neutral
5,joy
6,neutral
7,joy
1,neutral
2,joy
3,joy
4,joy
5,neutral
6,neutral
7,neutral
8,joy
9,joy
10,joy
11,neutral
12,joy
13,anger
14,neutral
1,- Phoebe - Nobody! (Others) - **anger**
2,- Phoebe - Nobody respects the bucket! (Statement Opinion) - **anger**
3,- Phoebe - You wouldn't believe what people put in here! (Statement Non Opinion) - **disgust**
4,- Phoebe - Look! (Command) - **anger**
5,"- Phoebe - Okay, does this look like a garbage can to you? (Question) - **anger**"
6,(Answer) - **neutral**
1,neutral
2,anger
3,sadness
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,joy
10,joy
1,- Chandler - Hey! (Greeting) - **neutral**
2,(Statement Non Opinion) - **joy**
3,"- Chandler - That's great, but shouldn't you be on the toilet right now? (Question) - **neutral** (or slight **disgust** depending on context)"
4,- Joey - What?! (Question) - **surprise**
5,- Chandler - What's wrong with you? (Question) - **neutral** (or slight **anger/concern**)
6,- Joey - Nothing! (Answer) - **neutral**
7,(Statement Non Opinion) - **sadness/fear**
8,(Statement Opinion) - **neutral** (or slight **denial/fear**)
9,You have to--you-you go to the doctor! (Statement Opinion) - **fear/concern**
10,"- Joey - No way! 'Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach! (Disagreement) - **anger/fear**"
11,(Statement Non Opinion) - **neutral**
12,- Joey - Why did I have to start working out again? Damn you 15s! (Question) - **anger/regret**
1,joy
2,neutral
3,surprise
4,joy
1,(Statement Non Opinion) - **joy**
2,Okay (Agreement) - **neutral**
3,(Statement Non Opinion) - **neutral**
4,Really?! (Question) - **surprise**
5,(Answer) - **neutral**
6,(Statement Opinion) - **fear**
1,anger
2,neutral
3,joy
4,sadness
5,surprise
6,sadness
7,anger
8,sadness
9,neutral
10,sadness
11,neutral
12,neutral
13,neutral
14,neutral
15,neutral
16,joy
17,neutral
18,neutral
19,neutral
20,neutral
21,neutral
22,joy
23,joy
1,"- Ross - Go, go, go! (Command) - **anger**"
2,"- Rachel - Oh yeah, now everybody wants to be under this hat! (Statement Opinion) - **disgust**"
3,- Phoebe - Oy!! (Others) - **surprise**
4,- Monica - What's with all this sand? (Question) - **neutral**
5,(Statement Non Opinion) - **sadness**
6,(Statement Opinion) - **joy**
1,anger
2,joy
3,neutral
4,surprise
5,fear
6,neutral
7,fear
8,joy
9,joy
10,joy
11,joy
1,joy
2,neutral
3,neutral
4,joy
5,neutral
6,joy
7,surprise
8,surprise
9,sadness
10,joy
11,anger
1,(Greeting) - neutral
2,- Phoebe - Hey! (Greeting) - joy
1,neutral
2,joy
3,surprise
4,neutral
5,neutral
6,neutral
7,joy
8,joy
9,neutral
10,sadness
11,surprise
12,joy
13,neutral
14,joy
15,neutral
16,joy
17,neutral
1,- Monica - How does she do that? (Question) - **surprise**
2,(Statement Opinion) - **neutral**
3,(Question) - **joy**
4,(Greeting) - **surprise**
5,(Statement Non Opinion) - **neutral**
6,What's going on with you? (Question) - **neutral**
7,I got no sleep last night! (Answer) - **sadness**
8,Why? (Question) - **neutral**
9,(Answer) - **disgust**
10,(Others) - **neutral**
11,(Statement Non Opinion) - **disgust**
12,You have no idea how loud they are! (Statement Non Opinion) - **anger**
13,(Statement Opinion) - **joy**
14,(Greeting) - **joy**
1,disgust
2,neutral
3,fear
4,neutral
1,(Statement Opinion) - **anger**
2,Okay! You don't think I thought of that? (Statement Non Opinion) - **anger**
3,How can you not know which one? (Question) - **surprise**
4,(Statement Opinion) - **surprise**
5,"I mean, was it Gina? (Question) - **neutral**"
6,Which one is Gina? (Question) - **neutral**
7,(Answer) - **neutral**
8,(Statement Non Opinion) - **anger**
9,"You see you can't tell which one is which either, dwha!! (Agreement) - **joy**"
1,neutral
2,joy
3,sadness
4,joy
5,surprise
6,neutral
7,neutral
8,joy
9,fear
1,joy
2,joy
3,neutral
4,neutral
5,neutral
6,joy
7,joy
8,neutral
9,neutral
10,joy
11,joy
12,surprise
13,joy
14,neutral
1,fear
2,sadness
3,surprise
4,neutral
5,neutral
6,joy
7,joy
8,joy
9,neutral
10,neutral
11,neutral
12,sadness
13,sadness
14,neutral
1,joy
2,joy
1,anger
2,surprise
3,joy
4,joy
5,neutral
6,neutral
7,sadness
8,sadness
1,joy
2,joy
3,joy
4,neutral
5,surprise
6,anger
7,anger
8,anger
9,neutral
10,sadness
11,sadness
12,neutral
13,neutral
1,neutral
2,joy
3,anger
4,neutral
5,neutral
6,surprise
7,anger
8,sadness
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,surprise
15,neutral
16,anger
1,neutral
2,neutral
3,neutral
4,neutral
1,- Joey and Chandler - Ooooohh! (Others) - **surprise**
2,(Statement Opinion) - **disgust**
3,? (Question) - **neutral**
4,(Answer) - **disgust**
5,"""Ooo,"" what? (Question) - **neutral**"
6,(Answer) - **neutral**
7,Oh! (Others) - **surprise**
8,The actress! (Statement Non Opinion) - **neutral**
9,(Greeting) - **joy**
10,So what are you gonna do? (Question) - **neutral**
11,You have to tell her! (Statement Opinion) - **anger**
12,You have to tell her! (Statement Opinion) - **anger**
13,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue! (Statement Opinion) - **anger**"
14,Guys? (Others) - **neutral**
15,Guys? (Others) - **neutral**
16,(Agreement) - **neutral**
17,That's where I went! (Statement Non Opinion) - **neutral**
18,(Statement Opinion) - **sadness**
19,(Others) - **neutral**
1,joy
2,joy
3,neutral
4,neutral
5,surprise
6,fear
7,anger
8,neutral
9,joy
10,surprise
11,joy
1,neutral
2,neutral
3,neutral
4,joy
5,sadness
6,neutral
7,neutral
8,neutral
9,neutral
10,surprise
11,anger
12,surprise
13,neutral
14,anger
1,surprise
2,joy
3,joy
4,joy
5,joy
6,neutral
1,joy
2,sadness
3,joy
4,neutral
5,disgust
6,anger
1,(Statement Non Opinion) - **neutral**
2,Wow! This looks great! (Acknowledge) - **joy**
3,(Statement Non Opinion) - **neutral**
4,And-and-and-and-and the toothpicks? (Statement Non Opinion) - **neutral**
1,anger
2,anger
3,neutral
4,neutral
5,surprise
6,neutral
7,anger
8,neutral
9,joy
10,joy
11,surprise
12,surprise
1,anger
2,anger
3,neutral
4,anger
5,sadness
6,sadness
7,sadness
8,joy
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,neutral
15,neutral
16,neutral
17,anger
18,anger
19,anger
1,- Phoebe - I can't (Disagreement) - **sadness**
2,(Statement Opinion) - **anger**
3,- Chandler - Y'know who has a great video camera? (Question) - **neutral**
4,- Phoebe - Greg and Jenny? (Answer) - **neutral**
5,(Question) - **joy**
6,(Answer) - **joy**
7,- Joey - Yeah! Ask them if they brought their friends any souvenirs! (Statement Non Opinion) - **joy**
8,- Monica - Hello? Eighth street deli? (Greeting) - **neutral**
9,(Statement Non Opinion) - **disgust**
10,(Apology) - **sadness**
11,(Statement Non Opinion) - **neutral**
12,- Monica - Hello? It's the deli again! (Statement Non Opinion) - **surprise**
13,- Joey - All right! I'll have a sandwich! (Statement Non Opinion) - **joy**
14,- Monica - I don't think this number's right! (Statement Opinion) - **anger**
15,- Rachel - Oh come on!! (Others) - **anger**
1,joy
2,surprise
3,neutral
4,neutral
5,neutral
6,surprise
7,neutral
8,sadness
9,neutral
10,neutral
11,neutral
12,neutral
13,anger
14,neutral
15,fear
16,anger
1,"Okay, Dick? (Statement Opinion) - **joy**"
2,(Statement Non Opinion) - **surprise**
1,"- Monica - Hey, Rach, how was work? (Question) - **neutral**"
2,(Answer) - **surprise**
3,(Statement Non Opinion) - **neutral**
4,(Statement Non Opinion) - **sadness**
5,(Statement Non Opinion) - **neutral**
6,- Monica - Something wrong? (Question) - **neutral**
7,(Answer) - **sadness**
1,neutral
2,neutral
3,neutral
1,"- Joey - Dude, I am sorry about what I said! (Apology) - **sadness**"
2,"- Chandler - No, no, you're right, it is a ridiculous name! (Agreement) - **anger**"
3,(Statement Non Opinion) - **neutral**
4,(Disagreement) - **anger**
5,"- Joey - So, you're just Bing? (Question) - **surprise**"
1,joy
2,surprise
3,anger
4,surprise
5,neutral
6,neutral
7,joy
8,joy
9,joy
10,anger
11,anger
12,neutral
13,joy
14,confusion
15,anger
1,sarcasm (anger)
2,joy
3,neutral
4,joy
5,neutral
6,joy
7,joy
8,neutral
9,neutral
10,anger
11,surprise
12,neutral
13,joy
14,neutral
15,joy
16,joy
17,joy
1,neutral
2,neutral
3,neutral
4,anger
5,sadness
6,neutral
7,neutral
8,neutral
9,joy
10,joy
11,neutral
12,joy
13,sadness
14,surprise
15,neutral
16,surprise
17,neutral
18,neutral
19,neutral
20,neutral
21,anger
22,disgust
1,joy
2,anger
3,neutral
4,neutral
5,neutral
6,sadness
7,sadness
8,sadness
9,joy
10,surprise
11,fear
12,neutral
13,neutral
14,anger
15,anger
16,anger
17,joy
1,(Greeting) - **neutral**
2,(Statement Non Opinion) - **neutral**
3,(Statement Opinion) - **neutral**
4,(Statement Non Opinion) - **anger**
5,- Ross - For what? For letting you throw me out of your office? (Disagreement) - **anger**
6,"- Rachel - You had no (Others) - **anger** (incomplete, but tone suggests frustration)"
7,(Statement Non Opinion) - **sarcasm/anger**
8,"- Rachel - But I told you, I didn't have the time! (Statement Non Opinion) - **frustration/anger**"
9,(Statement Non Opinion) - **sadness/anger**
10,"- Rachel - Wh, Ross what do you want from me? (Question) - **frustration**"
11,"- Rachel - You want me, you want me to quit my job so you can feel like you have a girlfriend? (Statement Opinion) - **anger**"
12,(Greeting) - **anger/sadness**
1,neutral
2,neutral
3,neutral
4,anger
5,anger
6,anger
7,anger
8,anger
9,sadness
10,frustration
11,anger
12,anger
1,(Agreement) - neutral
2,(Statement Non Opinion) - joy
3,What? (Question) - surprise
4,(Answer) - sadness
5,(Statement Opinion) - neutral
