Conversation, ChatGPT
1,Apology
2,Question
3,Answer
4,Command
5,Question
6,Question
7,Answer
8,Statement Non Opinion
9,Statement Non Opinion
10,Question
11,Statement Non Opinion
12,Statement Non Opinion
13,Statement Non Opinion
14,Statement Non Opinion
15,Question
16,Statement Non Opinion
17,Statement Non Opinion
18,Statement Non Opinion
19,Question
20,Statement Non Opinion
21,Question
22,Statement Non Opinion
23,Answer
24,Statement Opinion
25,Statement Opinion
26,Question
27,Answer
28,Question
29,Question
30,Statement Opinion
1,Question
2,Statement Opinion
3,Acknowledge
4,Statement Opinion
5,Statement Non Opinion
6,Statement Opinion
7,Statement Opinion
8,Statement Opinion
9,Statement Opinion
10,Acknowledge
11,Question
12,Statement Opinion
13,Question
14,Statement Non Opinion
15,Statement Non Opinion
16,Statement Non Opinion
17,Statement Non Opinion
18,Statement Non Opinion
19,Statement Opinion
20,Statement Opinion
21,Acknowledge
22,Statement Opinion
23,Question
24,Question
25,Command
26,Acknowledge
27,Question
28,Statement Non Opinion
29,Answer
30,Statement Opinion
31,Statement Non Opinion
32,Question
33,Statement Non Opinion
34,Acknowledge
35,Statement Non Opinion
36,Command
37,Statement Non Opinion
38,Statement Opinion
1,Question
2,Statement Non Opinion
3,Acknowledge
4,Statement Non Opinion
5,Question
6,Statement Non Opinion
7,Question
8,Statement Non Opinion
9,Question
10,Statement Non Opinion
11,Statement Non Opinion
12,Question
13,Statement Non Opinion
14,Statement Non Opinion
15,Statement Non Opinion
16,Statement Opinion
17,Statement Non Opinion
18,Acknowledge
19,Statement Non Opinion
20,Question
21,Statement Non Opinion
22,Statement Non Opinion
23,Statement Non Opinion
24,Question
25,Acknowledge
26,Question
27,Statement Non Opinion
28,Statement Opinion
29,Question
30,Question
31,Statement Non Opinion
32,Statement Opinion
33,Statement Non Opinion
34,Question
35,Answer
36,Question
37,Statement Non Opinion
38,Statement Non Opinion
39,Acknowledge
40,Statement Opinion
41,Acknowledge
42,Statement Non Opinion
43,Statement Non Opinion
44,Acknowledge
45,Statement Non Opinion
46,Acknowledge
47,Statement Non Opinion
48,Statement Opinion
49,Statement Opinion
50,Statement Non Opinion
51,Statement Opinion
52,Statement Non Opinion
1,Question
2,Acknowledge
3,Answer
4,Statement Non-Opinion
5,Statement Non-Opinion
6,Statement Opinion
7,Backchannel
8,Statement Non-Opinion
9,Question
10,Answer
11,Question
12,Statement Non-Opinion
13,Statement Non-Opinion
14,Statement Non-Opinion
15,Question
16,Answer
17,Backchannel
18,Question
19,Statement Non-Opinion
20,Answer
21,Backchannel
22,Question
23,Answer
24,Question
25,Question
26,Answer
27,Statement Non-Opinion
28,Statement Non-Opinion
29,Command
30,Answer
31,Statement Non-Opinion
32,Command
33,Statement Opinion
34,Statement Non-Opinion
35,Statement Non-Opinion
36,Statement Non-Opinion
37,Statement Non-Opinion
38,Command
39,Statement Non-Opinion
40,Backchannel
41,Statement Non-Opinion
42,Statement Non-Opinion
43,Statement Non-Opinion
44,Disagreement
45,Command
46,Command
47,Statement Non-Opinion
48,Question
49,Disagreement
50,Statement Non-Opinion
51,Statement Non-Opinion
52,Question
53,Statement Non-Opinion
54,Disagreement
55,Statement Non-Opinion
56,Statement Non-Opinion
57,Backchannel
58,Statement Non-Opinion
59,Disagreement
60,Statement Non-Opinion
61,Question
62,Statement Non-Opinion
63,Statement Opinion
64,Statement Non-Opinion
65,Statement Non-Opinion
66,Disagreement
67,Statement Non-Opinion
68,Statement Non-Opinion
69,Statement Opinion
70,Statement Opinion
71,Question
1,Greeting
2,Greeting
3,Statement Non Opinion
4,Question
5,Backchannel
6,Command
7,Acknowledge
8,Statement Non Opinion
9,Acknowledge
10,Statement Non Opinion
11,Question
12,Answer
13,Acknowledge
14,Statement Non Opinion
15,Question
16,Answer
17,Statement Non Opinion
18,Backchannel
19,Question
20,Statement Non Opinion
21,Statement Non Opinion
22,Apology
23,Question
24,Statement Non Opinion
25,Question
26,Agreement
27,Disagreement
28,Question
29,Disagreement
30,Question
31,Statement Non Opinion
32,Statement Non Opinion
33,Question
34,Apology
