Conversation, ChatGPT
1,Apology
2,Question
3,Answer
4,Command
5,Question
6,Question
7,Answer
8,Statement Non Opinion
9,Statement Non Opinion
10,Question
11,Statement Non Opinion
12,Statement Non Opinion
13,Statement Non Opinion
14,Statement Non Opinion
15,Question
16,Statement Non Opinion
17,Statement Non Opinion
18,Statement Non Opinion
19,Question
20,Statement Non Opinion
21,Question
22,Statement Non Opinion
23,Statement Non Opinion
24,Opinion
25,Opinion
26,Question
27,Answer
28,Question
29,Question
30,Agreement
1,Question
2,Statement Non Opinion
3,Acknowledge
4,Statement Non Opinion
5,Statement Non Opinion
6,Statement Non Opinion
7,Statement Opinion
8,Statement Non Opinion
9,Question
10,Acknowledge
11,Question
12,Statement Non Opinion
13,Question
14,Statement Non Opinion
15,Statement Non Opinion
16,Statement Non Opinion
17,Statement Non Opinion
18,Statement Non Opinion
19,Statement Opinion
20,Statement Opinion
21,Acknowledge
22,Statement Non Opinion
23,Statement Non Opinion
24,Question
25,Question
26,Acknowledge
27,Question
28,Question
29,Statement Non Opinion
30,Statement Non Opinion
31,Statement Non Opinion
32,Question
33,Statement Non Opinion
34,Acknowledge
35,Statement Non Opinion
36,Command
37,Command
38,Statement Non Opinion
1,Question
2,Answer
3,Acknowledge
4,Statement Non Opinion
5,Question
6,Answer
7,Question
8,Answer
9,Question
10,Answer
11,Statement Non Opinion
12,Question
13,Answer
14,Statement Non Opinion
15,Statement Non Opinion
16,Opinion
17,Statement Non Opinion
18,Acknowledge
19,Statement Non Opinion
20,Question
21,Answer
22,Command
23,Statement Non Opinion
24,Statement Non Opinion
25,Answer
26,Question
27,Answer
28,Statement Non Opinion
29,Question
30,Question
31,Answer
32,Statement Non Opinion
33,Statement Non Opinion
34,Question
35,Answer
36,Question
37,Answer
38,Acknowledge
39,Acknowledge
40,Opinion
41,Acknowledge
42,Acknowledge
43,Statement Non Opinion
44,Answer
45,Statement Non Opinion
46,Acknowledge
47,Statement Non Opinion
48,Acknowledge
49,Statement Non Opinion
50,Statement Non Opinion
51,Acknowledge
52,Statement Non Opinion
1,Question
2,Question
3,Acknowledge
4,Statement Opinion
5,Statement Non Opinion
6,Statement Opinion
7,Backchannel
8,Statement Non Opinion
9,Question
10,Answer
11,Backchannel
12,Statement Non Opinion
13,Statement Non Opinion
14,Statement Non Opinion
15,Question
16,Answer
17,Acknowledge
18,Question
19,Statement Non Opinion
20,Acknowledge
21,Acknowledge
22,Question
23,Answer
24,Backchannel
25,Question
26,Answer
27,Statement Non Opinion
28,Statement Non Opinion
29,Suggestion
30,Acknowledge
31,Statement Opinion
32,Statement Non Opinion
33,Statement Non Opinion
34,Statement Non Opinion
35,Question
36,Answer
37,Statement Non Opinion
38,Acknowledge
39,Statement Non Opinion
40,Acknowledge
41,Statement Non Opinion
42,Statement Opinion
43,Statement Non Opinion
44,Disagreement
45,Command
46,Backchannel
47,Statement Opinion
48,Question
49,Disagreement
50,Statement Non Opinion
51,Statement Non Opinion
52,Question
53,Answer
54,Statement Opinion
55,Statement Non Opinion
56,Sarcastic Remark (Others)
57,Backchannel
58,Statement Non Opinion
59,Disagreement
60,Statement Non Opinion
61,Question
62,Answer
63,Statement Opinion
64,Acknowledge
65,Statement Opinion
66,Disagreement
67,Question
68,Statement Non Opinion
69,Statement Non Opinion
70,Statement Opinion
71,Question
1,Greeting
2,Greeting
3,Statement Non Opinion
4,Question
5,Acknowledge
6,Statement Non Opinion
7,Acknowledge
8,Statement Non Opinion
9,Acknowledge
10,Statement Non Opinion
11,Apology
12,Answer
13,Acknowledge
14,Statement Non Opinion
15,Question
16,Answer
17,Statement Non Opinion
18,Backchannel
19,Question
20,Acknowledge
21,Statement Non Opinion
22,Apology
23,Question
24,Apology
25,Question
26,Acknowledge
27,Disagreement
28,Question
29,Disagreement
30,Question
31,Statement Non Opinion
32,Statement Non Opinion
33,Statement Non Opinion
34,Apology
35,Statement Opinion
36,Acknowledge
37,Backchannel
38,Statement Non Opinion
39,Statement Non Opinion
40,Statement Opinion
41,Command
42,Statement Non Opinion
43,Statement Opinion
