Utterance_Das,Original_Label,DeepSeek
also I was the point person on my company's transition from the KL-5 to GR-6 system. (Statement Non Opinion) ,neutral,neutral
You must've had your hands full. (Statement Opinion) ,neutral,joy
That I did. That I did. (Agreement) ,neutral,neutral
So let's talk a little bit about your duties. (Statement Non Opinion) ,neutral,neutral
My duties? All right. (Agreement) ,surprise,neutral
"Now you'll be heading a whole division, so you'll have a lot of duties. (Statement Non Opinion) ",neutral,neutral
I see. (Agreement) ,neutral,neutral
But there'll be perhaps 30 people under you so you can dump a certain amount on them. (Statement Opinion) ,neutral,joy
Good to know. (Statement Non Opinion) ,neutral,neutral
We can go into detail (Statement Opinion) ,neutral,neutral
No don't I beg of you! (Disagreement) ,fear,fear
"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here. (Statement Opinion) ",neutral,joy
Really?! (Question) ,surprise,surprise
Absolutely. You can relax (Answer) ,neutral,joy
But then who? The waitress I went out with last month? (Question) ,surprise,surprise
You know? Forget it! (Statement Opinion) ,sadness,anger
"No-no-no-no, no! Who, who were you talking about? (Question) ",surprise,fear
"No, I-I-I-I don't, I actually don't know (Answer) ",fear,sadness
Ok! (Backchannel) ,neutral,neutral
"All right, well... (Others) ",neutral,neutral
"Yeah, sure! (Backchannel) ",neutral,neutral
"Hey, Mon. (Greeting) ",neutral,neutral
Hey-hey-hey. You wanna hear something that sucks. (Question) ,neutral,sadness
Do I ever. (Others) ,joy,neutral
Chris says they're closing down the bar. (Statement Non Opinion) ,sadness,sadness
No way! (Disagreement) ,surprise,surprise
"Yeah, apparently they're turning it into some kinda coffee place. (Statement Non Opinion) ",neutral,sadness
Just coffee! Where are we gonna hang out now? (Question) ,disgust,anger
Got me. (Others) ,sadness,neutral
Can I get a beer. (Question) ,neutral,neutral
"Hey, did you pick a roommate? (Question) ",neutral,neutral
You betcha! (Others) ,joy,joy
Is it the Italian guy? (Question) ,neutral,neutral
"Um-mm, yeah right! (Answer) ",joy,disgust
"Oh my God, oh my God! Poor Monica! (Statement Non Opinion) ",surprise,fear
"What, what, what?! (Question) ",surprise,surprise
