Text,DS_emotion
|Excuse me.|,Apology
|Do you have your forms?|,Question
|Yeah.|,Acknowledge
|Let me see them.|,Command
|Is there a problem?|,Question
|Who told you to get in this line?|,Question
|You did.|,"The dialogical act shown in the text ""You did."" is **Acknowledge**.",Acknowledge
|You were standing at the beginning and you directed me.|,Command
|Okay. But I didn't tell you to get in this line if you are filling out this particular form.|,The dialogical act shown in the text is **Disagreement**.,Disagreement
|Well what's the problem?  Let me change it.|,Question  
|Well what's the problem?  Let me change it.|,Command
|This form is a Z.X.four.|,Statement Non Opinion
"|You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.|",Disagreement
|What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.|,The dialogical act shown in the text is: **Answer**,Answer
|No. I need another set of ID to prove this is actually you.|,Disagreement
|How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?|,Question
|I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.|,The dialogical act shown in the text is: **Statement Non Opinion**.,Statement Non Opinion
|I'm here to get an ID.|,Statement Non Opinion
"|No.  I need another ID, a separate one.|",Disagreement
|Like what?  Like a birth certificate?|,Question
"|A birth certificate, a passport...a student ID; didn't you go to school?  Anything?|",Question
|Who the hell has a birth certificate?|,Question
"|Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?|",The dialogical act shown in the text is **Statement Non Opinion**.,Statement Non Opinion
"|Yeah.  We keep it on file, but we need an ID to access that file.|",Answer
|That's out of control.|,Statement Opinion
|I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.|,Statement Opinion
|How long have you been working here?|,Question
|Actually too long.|,Statement Non Opinion
"|Clearly.  You know, do you have like a supervisor or something?|",The dialogical act shown in the text is: **Question**,Question
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,The dialogical acts in the given text are as follows:
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,"1. ""Yeah."" - **Acknowledge**  ",Acknowledge
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,"2. ""Do you want to see my supervisor?"" - **Question**  ",Question
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,"3. ""Huh?"" - **Question**  ",Question
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,"4. ""Yeah."" - **Acknowledge**  ",Acknowledge
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,"5. ""Do you want to see my supervisor?"" - **Question**  ",Question
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,"6. ""Fine."" - **Agreement**  ",Agreement
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,"7. ""I'll be right back."" - **Statement Non-Opinion**  ",Statement Non-Opinion
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,"(Note: Since you asked for *one word* per segment, I listed them separately. If you meant a single label for the entire exchange, it is mixed—**Question** is the most prominent.)  ",Question
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,"If you need a single overarching label, the most fitting would likely be:  "
|Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.|,**Question** (since the key repeated line is interrogative).,Question
|That would - I would appreciate that.  Yeah.|,Acknowledge
|Did you get the mail? So you saw my letter?|,Question
|It's not fair.|,Disagreement
|Yeah.  I know.|,Acknowledge
"|I don't understand.  You've already done so much, I don't know why do you have to go back.|",Disagreement
|I don't know.  I put in that. request too. They didn't...|,Statement Non Opinion
"|I guess, you know, everybody has to make sacrifices.|",Statement Opinion
"|I don't know, it's just not fair.  I think you've already made your sacrifice.|",Disagreement
"|There's people that have given more though, you know?|",Statement Opinion
|I just don't see how they can make you leave when you have a new baby - we have a new kid.|,Statement Opinion
|I know.|,Acknowledge
|Then why is that fair?  Why--|,Question
"|There's babies over there, though, that need mothers.|",Statement Non Opinion
